Back,Dashboard 3. Women's empowerment,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Australia,..,,96.7,,66.9,,..,,..,,..,,22.8,,10.0,,10.2,,32.1,,..,,99.2,,..,
8,Netherlands,..,,..,,73.0,,..,,..,,..,,25.0,,12.0,,8.7,,29.3,,26.0,,99.8,,112,
10,Denmark,..,,95.3,,..,,..,,..,,..,,32.0,,11.0,,12.7,,34.2,,26.6,,100.0,,126,
11,Finland,..,,100.0,,85.5,,..,,..,,..,,30.0,,11.0,,12.4,,27.4,,36.8,,99.6,,147,
11,Singapore,..,,99.5,,..,,..,,..,,..,,6.1,,..,,22.6,,34.3,,..,,96.3,,84,
13,United Kingdom,..,,..,,..,,..,,..,,..,,29.0,,7.0,,17.5,,38.1,,34.9,,96.1,,42,
14,Belgium,..,,..,,66.7,,..,,..,,..,,24.0,,8.0,,7.2,,25.8,,31.9,,98.8,,105,
14,New Zealand,..,,96.6,,79.9,,..,,..,,..,,..,,..,,12.9,,35.0,,..,,99.3,,..,
16,Canada,..,,98.0,,..,,..,,..,,..,,..,,..,,11.6,,31.4,,..,,99.9,,105,
17,United States,..,,99.1,,75.9,,9.0,,..,,..,,..,,..,,10.4,,34.0,,40.9,,92.7,,..,
18,Austria,..,,98.4,,79.0,,..,,..,,..,,13.0,,4.0,,14.3,,25.9,,32.0,,98.4,,112,
19,Israel,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.8,,93.7,,105,
19,Japan,..,,99.9,,39.8,,..,,..,,..,,..,,..,,..,,..,,..,,98.1,,98,
19,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,33.8,,40.7,,..,,..,,..,
22,Slovenia,..,,..,,..,,..,,..,,..,,13.0,,4.0,,14.5,,33.3,,40.5,,96.9,,105,
23,Korea (Republic of),..,,100.0,,82.3,,..,,..,,..,,..,,..,,14.4,,25.2,,..,,94.7,,90,
23,Luxembourg,..,,..,,..,,..,,..,,..,,22.0,,8.0,,9.5,,27.6,,17.9,,98.2,,112,
25,Spain,..,,..,,72.2,,..,,..,,..,,13.0,,3.0,,12.4,,29.6,,33.7,,91.6,,112,
26,France,..,,98.1,,78.4,,..,,..,,..,,26.0,,9.0,,14.5,,31.8,,34.2,,91.3,,112,
27,Czechia,..,,99.8,,..,,..,,..,,..,,21.0,,4.0,,13.9,,35.6,,26.6,,78.6,,196,
28,Malta,..,,99.7,,..,,..,,..,,..,,15.0,,5.0,,10.3,,27.8,,30.0,,97.0,,126,
29,Estonia,..,,99.1,,..,,..,,..,,..,,20.0,,9.0,,17.5,,38.4,,35.1,,98.4,,140,
29,Italy,..,,99.9,,65.1,,..,,..,,..,,19.0,,5.0,,15.7,,39.5,,23.3,,91.6,,150,
31,United Arab Emirates,..,,99.9,,..,,..,,..,,..,,..,,..,,22.2,,41.5,,15.8,,76.4,,45,
32,Greece,..,,99.9,,..,,..,,..,,..,,19.0,,1.0,,20.2,,40.1,,29.8,,84.5,,119,
33,Cyprus,..,,98.3,,..,,..,,..,,..,,15.0,,2.0,,8.9,,38.3,,27.0,,90.0,,126,
34,Lithuania,..,,100.0,,..,,..,,..,,..,,24.0,,5.0,,12.3,,29.6,,38.6,,81.0,,126,
35,Poland,..,,99.8,,62.3,,..,,..,,..,,13.0,,2.0,,15.3,,43.4,,41.2,,88.0,,140,
36,Andorra,..,,100.0,,..,,..,,..,,..,,..,,..,,4.5,,66.7,,..,,..,,..,
37,Latvia,..,,99.9,,..,,..,,..,,..,,32.0,,7.0,,10.2,,31.1,,43.5,,92.5,,112,
38,Portugal,..,,98.7,,73.9,,..,,..,,..,,19.0,,1.0,,19.0,,37.8,,37.0,,90.6,,..,
39,Slovakia,..,,98.0,,..,,..,,..,,..,,23.0,,4.0,,11.9,,35.2,,33.3,,83.1,,238,
40,Hungary,..,,99.7,,61.6,,..,,..,,..,,21.0,,3.0,,12.2,,31.7,,35.9,,72.2,,168,
40,Saudi Arabia,..,,99.4,,24.6,,..,,..,,..,,..,,..,,14.7,,36.8,,..,,58.2,,70,
42,Bahrain,..,,99.9,,..,,..,,..,,..,,..,,..,,10.5,,41.2,,..,,75.4,,60,
43,Chile,..,,99.8,,76.3,,..,,..,,..,,..,,..,,6.8,,18.8,,28.3,,71.3,,126,
43,Croatia,..,,99.9,,..,,..,,..,,..,,13.0,,3.0,,17.6,,38.9,,24.3,,82.7,,208,
45,Qatar,90.8,,100.0,,37.5,,12.4,,4,,..,,..,,..,,15.9,,47.6,,..,,61.6,c,50,
46,Argentina,98.1,,93.9,,81.3,,..,,..,,..,,26.9,,12.1,,9.1,,43.5,,33.1,,50.8,,90,
47,Brunei Darussalam,99.0,,99.8,,..,,..,,..,,..,,..,,..,,33.7,,54.3,,32.3,,..,,91,
48,Montenegro,97.2,,98.8,,20.7,,21.0,,6,,..,,17.0,,1.0,,..,,..,,28.2,,67.6,,45,
49,Romania,76.3,,97.1,,..,,..,,..,,..,,24.0,,2.0,,20.3,,41.2,,34.2,,53.6,,126,
50,Palau,90.3,,100.0,,..,,..,,..,,..,,25.2,,15.1,,..,,..,,35.5,,..,,..,
51,Kazakhstan,99.3,,99.9,,53.0,,15.5,,7,,..,,16.5,,1.5,,14.1,,31.6,,..,,60.3,,126,
52,Russian Federation,..,,99.7,,68.0,,8.0,,..,,..,,..,,..,,..,,..,,39.8,,76.1,,140,
53,Belarus,99.7,,99.8,,71.2,,7.0,,5,,..,,..,,..,,15.4,,27.4,,..,,81.3,,126,
54,Turkey,97.0,,98.0,,69.8,,11.6,,15,,..,,38.0,,..,,14.2,,34.7,,17.5,,54.3,,112,
55,Uruguay,97.2,,100.0,,79.6,,..,,25,,..,,16.8,,..,,12.2,,44.0,,35.2,,60.6,,98,
56,Bulgaria,..,,99.8,,..,,..,,..,,..,,23.0,,6.0,,12.5,,36.9,,39.3,,73.6,,410,
57,Panama,99.1,,92.9,,50.8,,24.2,,26,,..,,14.4,,..,,10.3,,43.2,,43.5,,42.3,,98,
58,Bahamas,..,,99.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,91,
58,Barbados,93.4,,99.1,,59.2,,19.9,,29,,..,,..,,..,,..,,40.5,,..,,..,,84,
60,Oman,98.6,,98.6,,29.7,,17.8,,4,,..,,..,,..,,41.0,,55.7,,..,,63.5,c,50,
61,Georgia,97.6,,99.4,,40.6,,23.1,,14,,..,,6.0,,2.7,,16.5,,38.7,,..,,63.6,,183,
62,Costa Rica,97.6,,99.0,,70.9,,13.7,,21,,..,,35.9,d,..,,8.1,,32.2,,..,,60.9,,120,
62,Malaysia,97.2,,99.6,,52.2,,..,,..,,..,,..,,..,,26.2,,34.2,,..,,82.5,,60,
64,Kuwait,..,,99.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,73.5,,70,
64,Serbia,98.3,,98.4,,58.4,,14.9,,3,,..,,17.0,,2.0,,20.3,,42.6,,33.6,,70.1,,135,
66,Mauritius,..,,99.8,,63.8,,12.5,,..,,..,,..,,..,,14.8,,36.0,,31.0,,87.1,,98,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Seychelles,..,,..,,..,,..,,..,,..,,..,,..,,7.9,,31.6,,47.4,,..,,112,
67,Trinidad and Tobago,95.1,,100.0,,40.3,,24.3,,11,,..,,30.2,,19.0,,..,,..,,..,,73.6,,98,
69,Albania,88.4,,99.8,,46.0,,15.1,,12,,..,,21.0,,1.3,,15.2,,46.7,,41.3,,38.1,,365,
70,Cuba,98.5,,99.9,,73.7,,8.0,,26,,..,,..,,..,,6.1,,39.9,,..,,..,,..,
70,Iran (Islamic Republic of),96.9,,99.0,,77.4,,5.7,,17,,..,,..,,..,,31.5,,31.2,,..,,91.6,,270,
72,Sri Lanka,98.8,,99.5,,61.7,,7.5,,10,,..,,..,,..,,..,,40.6,,22.5,,73.4,,118,
73,Bosnia and Herzegovina,87.0,,99.9,,45.8,,9.0,,4,,..,,11.0,,1.0,,16.1,,44.5,,25.4,,54.7,,365,
74,Grenada,..,,100.0,,..,,..,,..,,..,,..,,..,,11.6,,40.9,,..,,..,,90,
74,Mexico,98.5,,96.4,,73.1,,13.0,,26,,..,,24.6,,38.8,,14.5,,30.6,,35.5,,33.3,,84,
74,Saint Kitts and Nevis,..,,100.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,91,
74,Ukraine,98.6,,99.9,,65.4,,4.9,,9,,..,,26.0,,5.0,,13.7,,28.8,,..,,61.3,,126,
78,Antigua and Barbuda,..,,100.0,,..,,..,,..,,..,,..,,..,,1.8,,33.3,,..,,..,,91,
79,Peru,97.0,,92.1,,76.3,,6.3,,17,,..,,31.2,,..,,24.4,,47.8,,..,,34.4,,98,
79,Thailand,98.1,,99.1,,78.4,,6.2,,23,,..,,..,,..,,15.0,,30.1,,31.0,,79.8,,90,
81,Armenia,99.6,,99.8,,57.1,,12.5,,5,,..,,8.2,,..,,10.2,,39.8,,..,,40.9,,140,
82,North Macedonia,98.6,,99.9,,40.2,,17.2,,7,,..,,10.0,,2.0,,18.0,,47.4,,28.2,,72.9,,270,
83,Colombia,97.2,,99.1,,81.0,,6.7,,23,,..,,33.3,,..,,13.8,,33.4,,..,,42.5,,126,
84,Brazil,97.2,,99.1,,80.2,,..,,26,,..,,16.7,,..,,10.7,,36.6,,38.6,,67.5,,120,
85,China,99.6,,99.9,,84.5,,..,,..,,..,,..,,..,,..,,..,,..,,76.4,,128,
86,Ecuador,..,,96.0,,80.1,,8.8,,20,,..,,40.4,,..,,8.0,,29.2,,37.1,,42.6,,84,
86,Saint Lucia,96.9,,100.0,,55.5,,17.0,,24,,..,,..,,..,,..,,..,,..,,..,,91,
88,Azerbaijan,91.7,,99.4,,54.9,,..,,11,,..,,13.5,,..,,14.6,,35.1,,..,,27.7,,126,
88,Dominican Republic,98.0,,99.8,,69.5,,11.4,,36,,..,,28.5,,..,,7.0,,40.0,,50.2,,54.1,,98,
90,Moldova (Republic of),98.8,,99.7,,59.5,,9.5,,12,,..,,34.0,,4.0,,12.3,,30.5,,..,,44.6,,126,
91,Algeria,92.7,,..,,57.1,,7.0,,3,,..,,..,,..,,30.9,,58.2,,..,,29.3,,98,
92,Lebanon,..,,..,,54.5,,..,,6,,..,,..,,..,,18.0,,43.3,,..,,32.9,,70,
93,Fiji,..,,99.8,,..,,..,,..,,..,,64.1,,8.5,,..,,..,,38.6,,..,,98,
94,Dominica,..,,100.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,84,
95,Maldives,98.7,,99.5,,18.8,,31.4,,2,,12.9,,16.3,,..,,0.8,,10.6,,19.5,,..,,60,
95,Tunisia,95.3,,99.5,,50.7,,19.9,,2,,..,,..,,..,,36.5,,55.4,,19.3,,28.4,,30,
97,Saint Vincent and the Grenadines,..,,98.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,91,
97,Suriname,84.8,,98.4,,39.1,,28.4,,36,,..,,..,,..,,..,,..,,..,,..,,..,
99,Mongolia,98.7,,99.3,,48.1,,22.8,,12,,..,,31.2,,14.0,,14.4,,34.1,,43.0,,95.0,,120,
100,Botswana,..,,99.8,,67.4,,..,,..,,..,,..,,..,,..,,..,,29.6,,46.8,,84,
101,Jamaica,97.7,,99.7,,72.5,,10.0,,8,,..,,27.8,,23.0,,..,,..,,..,,77.8,e,56,
102,Jordan,97.6,,99.7,,51.8,,14.2,,10,,..,,19.0,,..,,..,,..,,..,,26.6,,70,
103,Paraguay,98.7,,97.7,,68.4,,12.1,,22,,..,,20.4,,..,,..,,..,,..,,46.0,,126,
104,Tonga,99.0,,..,,34.1,,25.2,,6,,..,,39.6,,6.3,,..,,..,,40.3,,..,,..,
105,Libya,..,,..,,27.7,,40.2,,..,,..,,..,,..,,..,,..,,..,,59.6,,98,
106,Uzbekistan,99.4,,100.0,,..,,..,,7,,..,,..,,..,,21.4,,24.6,,..,,36.0,,126,
107,Bolivia (Plurinational State of),95.6,,71.5,,66.5,,23.2,,20,,..,,58.5,,..,,..,,..,,30.4,,53.9,,90,
107,Indonesia,97.5,,94.7,,55.5,,14.8,,16,,..,,18.3,,..,,12.4,,37.4,,19.4,,51.4,,90,
107,Philippines,93.8,,84.4,,54.1,,16.7,,17,,..,,14.8,,..,,17.8,,36.3,,29.3,,38.9,,105,
110,Belize,97.2,,94.0,,51.4,,22.2,,34,,..,,22.2,,..,,11.7,,41.8,,41.7,,52.3,e,98,
111,Samoa,93.3,,82.5,,26.9,,34.8,,11,,..,,46.1,,10.6,,..,,..,,41.6,,..,,28,
111,Turkmenistan,99.6,,100.0,,50.2,,12.1,,6,,..,,..,,..,,..,,..,,..,,35.5,,..,
113,Venezuela (Bolivarian Republic of),97.5,,99.1,,75.0,,..,,..,,..,,..,,..,,..,,..,,..,,70.0,,182,
114,South Africa,93.7,,96.7,,54.6,,14.9,,4,,..,,21.3,,..,,12.9,,42.8,,33.3,,70.0,,120,
115,"Palestine, State of",99.4,,99.6,,57.2,,10.9,,15,,..,,..,,..,,11.3,,44.3,,17.8,,15.9,,70,
116,Egypt,90.3,,91.5,,58.5,,12.6,,17,,87.2,,25.6,,..,,7.7,,36.9,,..,,27.0,,90,
117,Marshall Islands,..,,92.4,,..,,..,,26,,..,,50.9,,13.0,,..,,..,,..,,..,,..,
117,Viet Nam,95.8,,93.8,,77.5,,6.1,,11,,..,,34.4,,2.3,,15.4,,36.5,,..,,30.4,,180,
119,Gabon,94.7,,..,,31.1,,26.5,,22,,..,,48.6,,5.0,,..,,..,,..,,53.7,,98,
,Medium human development,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kyrgyzstan,99.8,,99.8,,39.4,,19.0,,13,,..,,26.6,,0.1,,11.3,,31.3,,..,,38.9,,126,
121,Morocco,88.5,,86.6,,70.8,,11.3,,14,,..,,..,,..,,17.8,,45.3,,..,,16.8,,98,
122,Guyana,90.7,,95.8,,33.9,,28.0,,30,,..,,..,,..,,5.2,,27.2,,38.5,,..,,91,
123,Iraq,87.6,,95.6,,52.8,,14.3,,28,,7.4,,..,,..,,..,,..,,..,,19.5,,98,
124,El Salvador,96.0,,99.9,,71.9,,11.1,,26,,..,,14.3,,..,,8.9,,23.1,,43.1,,24.4,,112,
125,Tajikistan,91.8,,94.8,,29.3,,22.7,,9,,..,,26.4,,..,,..,,..,,..,,42.1,,140,
126,Cabo Verde,..,,92.4,,..,,..,,18,,..,,12.6,,..,,10.6,,42.4,,..,,..,,60,
127,Guatemala,91.3,,69.8,,60.6,,13.9,,30,,..,,21.2,,..,,5.4,,34.7,,34.5,,42.1,,84,
128,Nicaragua,94.7,,96.0,,80.4,,5.8,,35,,..,,22.5,,..,,..,,..,,53.7,,24.8,,84,
129,Bhutan,97.9,,96.2,,65.6,,11.7,,26,,..,,15.1,,5.8,,..,,..,,..,,27.7,e,56,
130,Namibia,96.6,,..,,56.1,,17.5,,7,,..,,26.7,,..,,7.7,,42.5,,48.2,,80.7,,84,
131,India,79.3,,81.4,,53.5,,12.9,,27,,..,,28.8,,..,,26.9,,42.7,,13.7,,76.6,,182,
132,Honduras,96.6,,74.0,,73.2,,10.7,,34,,..,,27.8,,..,,9.1,,37.8,,47.5,,41.0,,84,
133,Bangladesh,75.2,,52.7,,62.3,,12.0,,59,,..,,54.2,,3.0,,8.2,,20.6,,11.5,,35.8,,112,
134,Kiribati,88.4,,..,,22.3,,28.0,,20,,..,,67.6,,9.8,,..,,..,,..,,..,,84,
135,Sao Tome and Principe,97.5,,92.5,,40.6,,33.7,,35,,..,,27.9,,..,,..,,..,,..,,..,,98,
136,Micronesia (Federated States of),..,,..,,..,,..,,..,,..,,32.8,,8.0,,..,,..,,18.2,,..,,..,
137,Lao People's Democratic Republic,78.4,,64.4,,54.1,,14.3,,33,,..,,15.3,,5.3,,12.8,,29.0,,23.4,,31.9,,105,
138,Eswatini (Kingdom of),98.5,,88.3,,66.1,,15.2,,5,,..,,..,,..,,..,,..,,54.6,,27.4,c,14,
138,Ghana,97.1,,78.1,,33.0,,26.3,,21,,3.8,,24.4,,4.0,,7.9,,19.8,,26.6,,53.7,,84,
140,Vanuatu,75.6,,..,,49.0,,24.2,,21,,..,,60.0,,33.0,,..,,..,,28.5,,..,,84,
141,Timor-Leste,84.4,,56.7,,26.1,,25.3,,15,,..,,58.8,,13.9,,..,,..,,..,,..,,84,
142,Nepal,83.6,,58.0,,52.6,,23.7,,40,,..,,25.0,,..,,..,,..,,13.9,,41.6,,60,
143,Kenya,93.7,,61.8,,60.5,,14.9,,23,,21.0,,40.7,,..,,11.2,,30.7,,..,,77.7,,90,
144,Cambodia,95.3,,89.0,,56.3,,12.5,,19,,..,,20.9,,3.8,,6.0,,16.7,,20.2,,21.5,,90,
145,Equatorial Guinea,91.3,,..,,12.6,,33.8,,30,,..,,56.9,,..,,..,,..,,..,,..,,84,
146,Zambia,96.9,,63.3,,49.5,,19.7,,29,,..,,45.9,,..,,..,,..,,40.3,,40.3,,98,
147,Myanmar,80.7,,60.2,,52.2,,16.2,,16,,..,,17.3,,..,,31.0,,60.8,,34.1,,26.0,,98,
148,Angola,81.6,,46.6,,13.7,,38.0,,30,,..,,34.8,,..,,9.9,,38.4,,..,,22.3,e,90,
149,Congo,93.5,,91.2,,30.1,,17.9,,27,,..,,..,,..,,7.5,,20.8,,..,,21.0,,105,
150,Zimbabwe,93.3,,86.0,,66.8,,10.4,,34,,..,,37.6,,..,,20.9,,28.8,,..,,51.7,,98,
151,Solomon Islands,88.5,,86.2,,29.3,,34.7,,21,,..,,63.5,,18.0,,..,,..,,25.1,,..,,84,
151,Syrian Arab Republic,87.7,,..,,53.9,,16.4,,13,,..,,..,,..,,19.2,,49.5,,..,,19.6,c,120,
153,Cameroon,87.0,,69.0,,19.3,,23.0,,31,,1.4,,51.1,,5.0,,16.1,,32.3,,..,,30.0,,98,
154,Pakistan,86.2,,69.3,,34.2,,17.3,,18,,..,,24.5,,..,,..,,..,,4.2,,7.0,,112,
155,Papua New Guinea,76.1,,56.4,,36.7,,25.9,,27,,..,,..,,..,,..,,..,,19.3,,..,,..,
156,Comoros,92.1,,..,,19.4,,31.6,,32,,..,,6.4,,1.5,,..,,..,,..,,17.9,c,98,
,Low human development,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Mauritania,86.9,,69.3,,17.8,,33.6,,37,,66.6,,..,,..,,29.4,,28.9,,..,,15.5,,98,
158,Benin,83.2,,78.1,,15.5,,32.3,,31,,9.2,,23.8,,..,,19.1,,54.9,,..,,28.6,,98,
159,Uganda,97.3,,74.2,,41.8,,26.0,,34,,0.3,,49.9,,..,,..,,..,,25.5,,52.7,,84,
160,Rwanda,97.6,,90.7,,53.2,,18.9,,7,,..,,37.1,,..,,12.1,,35.4,,33.2,,45.0,,84,
161,Nigeria,67.0,,43.3,,27.6,,23.1,,43,,19.5,,17.4,,1.5,,..,,..,,28.9,,27.3,,84,
162,Côte d'Ivoire,93.2,,73.6,,23.3,,26.5,,27,,36.7,,25.9,,..,,..,,..,,22.2,,35.6,,98,
163,Tanzania (United Republic of),98.0,,63.5,,38.4,,22.1,,31,,10.0,,46.2,,..,,..,,..,,17.3,,42.2,,84,
164,Madagascar,85.1,,46.0,,44.3,,16.4,,40,,..,,..,,..,,14.9,,31.0,,24.5,,16.3,,98,
165,Lesotho,91.3,,86.6,,64.9,,16.0,,16,,..,,..,,..,,6.4,,24.8,,..,,46.5,,84,
166,Djibouti,87.7,,..,,19.0,,..,,5,,94.4,,..,,..,,..,,..,,..,,8.8,c,98,
167,Togo,77.9,,69.4,,23.9,,34.0,,25,,3.1,,25.1,,..,,..,,..,,29.5,,37.6,,98,
168,Senegal,97.1,,74.2,,27.8,,21.9,,29,,24.0,,21.5,,..,,..,,..,,..,,38.4,,98,
169,Afghanistan,65.2,,58.8,,18.9,,24.5,,28,,..,,50.8,,..,,..,,..,,4.3,,7.2,,90,
170,Haiti,91.0,,41.6,,34.3,,38.0,,15,,..,,26.0,,..,,..,,..,,..,,30.0,,42,
170,Sudan,79.1,,77.7,,12.2,,26.6,,34,,86.6,,..,,..,,27.8,,47.2,,..,,10.0,e,56,
172,Gambia,99.0,,82.7,,16.8,,26.5,,26,,75.7,,20.1,,..,,53.1,,45.7,,33.7,,..,,180,
173,Ethiopia,73.6,,27.7,,40.1,,20.6,,40,,65.2,,28.0,,..,,..,,17.3,,21.1,,29.1,,90,
174,Malawi,97.6,,89.8,,59.2,,18.7,,42,,..,,37.5,,..,,..,,..,,..,,29.8,,56,
175,Congo (Democratic Republic of the),88.4,,80.1,,20.4,,27.7,,37,,..,,50.7,,..,,11.0,,25.1,,..,,24.2,,98,
175,Guinea-Bissau,92.4,,45.0,,16.0,,22.3,,24,,44.9,,..,,..,,..,,..,,..,,..,,60,
175,Liberia,95.9,,..,,31.2,,31.1,,36,,44.4,,38.5,,2.6,,..,,..,,20.1,,28.2,,98,
178,Guinea,80.9,,55.3,,10.9,,17.7,,47,,94.5,,..,,..,,..,,..,,..,,19.7,,98,
179,Yemen,64.4,,..,,33.5,,28.7,,32,,18.5,,..,,..,,..,,..,,..,,1.7,e,70,
180,Eritrea,88.5,,..,,8.4,,27.4,,41,,83.0,,..,,..,,21.8,,27.8,,..,,..,,60,
181,Mozambique,87.2,,73.0,,27.1,,23.1,,53,,..,,21.7,,..,,5.6,,29.3,,22.2,,32.9,,60,
182,Burkina Faso,92.8,,79.8,,32.5,,23.3,,52,,75.8,,11.5,,..,,10.1,,20.6,,24.0,,34.5,,98,
182,Sierra Leone,97.9,,86.9,,21.2,,24.8,,30,,86.1,,48.8,,..,,..,,..,,..,,15.4,,84,
184,Mali,79.5,,67.3,,17.2,,23.9,,54,,88.6,,35.5,,..,,..,,..,,..,,25.7,,98,
185,Burundi,99.2,,85.1,,28.5,,29.7,,19,,..,,48.5,,..,,10.4,,18.2,,..,,6.7,e,84,
185,South Sudan,61.9,,..,,4.0,,26.3,,52,,..,,..,,..,,..,,..,,..,,4.7,,90,
187,Chad,54.7,,24.3,,5.7,,22.9,,67,,38.4,,28.6,,..,,..,,..,,..,,14.9,,98,
188,Central African Republic,68.2,,..,,15.2,,27.0,,68,,24.2,,29.8,,..,,..,,..,,..,,9.7,,98,
189,Niger,82.8,,39.1,,11.0,,15.0,,76,,2.0,,..,,..,,5.8,,18.0,,21.6,,10.9,,98,
,Other countries or territories,,,,,,,,,,,,,,,,,,,,,,,,,,
..,Korea (Democratic People's Rep. of),99.5,,99.5,,70.2,,6.6,,..,,..,,..,,..,,22.2,,19.3,,..,,..,,..,
..,Monaco,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
..,Nauru,..,,..,,..,,..,,27,,..,,48.1,,47.3,,..,,..,,..,,..,,..,
..,San Marino,..,,..,,..,,..,,..,,..,,..,,..,,9.7,,36.0,,..,,..,,630,
..,Somalia,..,,..,,..,,..,,45,,97.9,,..,,..,,..,,..,,..,,33.7,e,98,
..,Tuvalu,..,,..,,..,,..,,10,,..,,36.8,,..,,..,,..,,36.7,,..,,..,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very high human development,..,,98.9,,68.0,,..,,..,,..,,..,,..,,13.4,,33.2,,36.7,,86.4,,117,
,High human development,97.9,,97.7,,75.2,,..,,..,,..,,..,,..,,..,,..,,..,,64.2,,118,
,Medium human development,81.6,,76.1,,51.7,,14.4,,28,,..,,30.5,,..,,25.2,,42.1,,13.8,,59.3,,94,
,Low human development,80.2,,57.6,,28.8,,23.8,,39,,37.1,,31.6,,..,,..,,..,,..,,26.3,,88,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developing countries,89.6,,84.8,,59.9,,15.3,,27,,..,,..,,..,,..,,..,,..,,58.1,,101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arab States,87.0,,91.7,,47.5,,16.1,,20,,..,,..,,..,,19.6,,48.1,,..,,26.9,,75,
,East Asia and the Pacific,98.0,,96.5,,76.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,95,
,Europe and Central Asia,97.5,,99.0,,61.3,,11.5,,11,,..,,27.9,,..,,14.4,,32.2,,..,,53.4,,165,
,Latin America and the Caribbean,97.2,,95.1,,75.7,,..,,25,,..,,23.8,,..,,12.0,,34.5,,..,,52.0,,97,
,South Asia,80.5,,77.7,,52.8,,13.3,,29,,..,,31.0,,..,,..,,41.1,,13.4,,64.9,,118,
,Sub-Saharan Africa,84.1,,61.3,,33.6,,22.5,,36,,30.7,,31.4,,..,,..,,..,,..,,35.9,,91,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Least developed countries,82.1,,59.7,,38.0,,21.4,,40,,..,,38.3,,..,,..,,..,,..,,28.3,,88,
,Small island developing states,91.8,,80.1,,51.0,,21.2,,24,,..,,..,,..,,..,,..,,..,,..,,82,
