Back,Table 12. Human security,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SDG16.9,,"SDG1.5,11.5",,"SDG1.5,11.5",,"SDG1.5,11.5,13.1",,,,SDG16.3,,SDG16.1,,SDG3.4,,,,,,,,SDG2.1,,,
,"Internally displaced persons: Number of people who have been forced to leave their homes or places of habitual residence—in particular, as a result of or to avoid the effects of armed conflict, situations of generalized violence, violations of human rights or natural or human-made disasters—and who have not crossed an internationally recognized state border.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Homeless people due to natural disaster: Average annual number of people who lack a shelter for living quarters as a result of natural disasters, who carry their few possessions with them and who sleep in the streets, in doorways or on piers, or in any other space, on a more or less random basis, expressed per million people.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Orphaned children: Number of children (ages 0–17) who have lost one or both parents due to any cause.,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Prison population: Number of persons held in prisons, penal institutions or correctional institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay, expressed per 100,000 people.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Homicide rate: Number of unlawful deaths inflicted upon a person with the intent to cause death or serious injury, expressed per 100,000 people.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Suicide rate: Number of deaths from purposely self-inflicted injuries, expressed per 100,000 people in the reference population. The rates are age-standardized.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Justification of wife beating: Percentage of girls and boys 15–19 years old who consider a husband to be justified in hitting or beating his wife for at least one of the specified reasons: if his wife burns the food, argues with him, goes out without telling him, neglects the children or refuses sexual relations.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average dietary energy supply adequacy: Average supply of calories for food consumption, expressed as a percentage of the average dietary energy requirement, which is the amount of dietary energy that would be needed to ensure that, if properly distributed, hunger would be eliminated.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAIN DATA SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 1: United Nations Statistics Division (2020a). Global SDG Indicators Database. https://unstats.un.org/sdgs/indicators/database/. Accessed 21 July 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 2: UNHCR (Office of the United Nations High Commissioner for Refugees) (2020). UNHCR Global Trends 2019. Geneva. www.unhcr.org/globaltrends2019/. Accessed 4 August 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 3: IDMC (Internal Displacement Monitoring Centre) (2020). Global Internal Displacement Database. www.internal-displacement.org/database. Accessed 22 July 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 4: CRED EM-DAT (2020) and UNDESA (2019a).,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Columns 5, 10 and 11: UNICEF (United Nations Children’s Fund) (2020a). UNICEF Data. https://data.unicef.org. Accessed 21 July 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Columns 6 and 7: UNODC (United Nations Office on Drugs and Crime) (2020). DATAUNODC. https://dataunodc.un.org. Accessed 21 July 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columns 8 and 9: WHO (World Health Organization) (2020). Global Health Observatory. www.who.int/gho/. Accessed 21 July 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column 12: FAO (Food and Agriculture Organization) (2020a). FAOSTAT database. http://www.fao.org/faostat/en. Accessed 21 July 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
