Back,Table 7. Population trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Population,,,,,,,,,,,,,,,,,,Dependency ratio,,,,,,,,,
70,Iran (Islamic Republic of),82.9,,92.7,,1.1,,1.4,,75.4,,7.6,,57.2,,5.3,,32.0,,35.7,,9.2,,1.8,,2.2,,,
72,Sri Lanka,21.3,,22.0,,0.7,,0.5,,18.6,,1.7,,13.9,,2.3,,34.0,,36.7,,16.6,,2.3,,2.2,,,
73,Bosnia and Herzegovina,3.3,,3.1,,-0.3,,-0.9,,48.6,,0.1,,2.2,,0.6,,43.1,,21.6,,25.3,,1.3,,1.3,,,
74,Grenada,0.1,,0.1,,0.3,,0.5,,36.4,,0.0,,0.1,,0.0,,32.0,,35.6,,14.5,,2.3,,2.1,,,
74,Mexico,127.6,,140.9,,1.5,,1.1,,80.4,,11.0,,84.7,,9.5,,29.2,,39.4,,11.2,,2.4,,2.1,,,
74,Saint Kitts and Nevis,0.1,,0.1,,0.9,,0.8,,30.8,,..,,..,,..,,..,,..,,..,,..,,..,,,
74,Ukraine,44.0,l,40.9,l,-0.5,l,-0.5,l,69.5,l,2.2,l,29.6,l,7.3,l,41.2,l,23.7,l,24.8,l,1.4,l,1.4,l,,
78,Antigua and Barbuda,0.1,,0.1,,1.6,,0.9,,24.5,,0.0,,0.1,,0.0,,34.0,,31.8,,13.1,,2.0,,2.0,,,
79,Peru,32.5,,36.0,,0.8,,1.6,,78.1,,2.8,,21.6,,2.7,,31.0,,38.1,,12.7,,2.7,,2.3,,,
79,Thailand,69.6,,70.3,,0.5,,0.3,,50.7,,3.6,,49.3,,8.6,,40.1,,23.8,,17.5,,1.6,,1.5,,,
81,Armenia,3.0,,3.0,,-0.7,,0.3,,63.2,,0.2,,2.0,,0.3,,35.4,,30.7,,17.0,,1.7,,1.8,,,
82,North Macedonia,2.1,,2.1,,0.1,,0.0,,58.2,,0.1,,1.4,,0.3,,39.1,,23.6,,20.3,,1.5,,1.5,,,
83,Colombia,50.3,,53.4,,1.2,,1.4,,81.1,,3.7,,34.5,,4.4,,31.3,,33.0,,12.8,,2.1,,1.8,,,
84,Brazil,211.0,,223.9,,1.0,,0.8,,86.8,,14.6,,147.2,,19.5,,33.5,,30.1,,13.3,,1.9,,1.7,,,
85,China,"1,433.8",,"1,464.3",,0.6,,0.5,,60.3,,85.0,,"1,014.0",,164.5,,38.4,,25.2,,16.2,,1.6,,1.7,,,
86,Ecuador,17.4,,19.8,,1.6,,1.7,,64.0,,1.7,,11.3,,1.3,,27.9,,42.7,,11.4,,2.7,,2.4,,,
86,Saint Lucia,0.2,,0.2,,1.3,,0.5,,18.8,,0.0,,0.1,,0.0,,34.5,,25.4,,14.0,,1.6,,1.4,,,
88,Azerbaijan,10.0,m,10.7,m,1.1,m,1.0,m,56.0,m,0.8,m,7.0,m,0.6,m,32.3,m,33.4,m,9.2,m,1.8,m,2.1,m,,
88,Dominican Republic,10.7,,11.8,,1.3,,1.1,,81.8,,1.0,,7.0,,0.8,,28.0,,42.6,,11.2,,2.6,,2.4,,,
90,Moldova (Republic of),4.0,n,3.9,n,-0.4,n,-0.2,n,42.7,n,0.2,n,2.9,n,0.5,n,37.6,n,22.0,n,16.7,n,1.3,n,1.3,n,,
91,Algeria,43.1,,50.4,,1.6,,2.0,,73.2,,5.0,,27.1,,2.8,,28.5,,48.6,,10.4,,2.7,,3.1,,,
92,Lebanon,6.9,,6.2,,1.1,,0.9,,88.8,,0.6,,4.6,,0.5,,29.6,,38.1,,10.8,,1.9,,2.1,,,
93,Fiji,0.9,,1.0,,0.9,,0.6,,56.8,,0.1,,0.6,,0.1,,27.9,,45.0,,8.6,,2.8,,2.8,,,
94,Dominica,0.1,,0.1,,0.1,,0.2,,70.8,,..,,..,,..,,..,,..,,..,,..,,..,,,
95,Maldives,0.5,,0.5,,2.7,,3.4,,40.2,,0.0,,0.4,,0.0,,29.9,,26.0,,4.7,,2.3,,1.9,,,
95,Tunisia,11.7,,12.8,,1.0,,1.1,,69.3,,1.0,,7.9,,1.0,,32.8,,36.1,,12.8,,2.0,,2.2,,,
97,Saint Vincent and the Grenadines,0.1,,0.1,,-0.1,,0.3,,52.6,,0.0,,0.1,,0.0,,32.9,,32.6,,14.3,,2.1,,1.9,,,
97,Suriname,0.6,,0.6,,1.2,,1.0,,66.1,,0.1,,0.4,,0.0,,29.0,,40.7,,10.6,,2.7,,2.4,,,
99,Mongolia,3.2,,3.7,,1.5,,1.8,,68.5,,0.4,,2.1,,0.1,,28.2,,47.4,,6.4,,2.4,,2.9,,,
100,Botswana,2.3,,2.8,,2.0,,2.1,,70.2,,0.3,,1.4,,0.1,,24.0,,54.6,,7.1,,3.0,,2.9,,,
101,Jamaica,2.9,,3.0,,0.5,,0.5,,56.0,,0.2,,2.0,,0.3,,30.7,,34.8,,13.2,,2.3,,2.0,,,
102,Jordan,10.1,,10.7,,4.6,,1.9,,91.2,,1.1,,6.3,,0.4,,23.8,,53.7,,6.2,,3.8,,2.8,,,
103,Paraguay,7.0,,7.9,,1.4,,1.3,,61.9,,0.7,,4.5,,0.5,,26.3,,45.5,,10.3,,2.9,,2.4,,,
104,Tonga,0.1,,0.1,,0.6,,1.0,,23.1,,0.0,,0.1,,0.0,,22.4,,59.5,,10.1,,4.0,,3.6,,,
105,Libya,6.8,,7.6,,1.3,,1.4,,80.4,,0.6,,4.6,,0.3,,28.8,,41.6,,6.6,,2.5,,2.3,,,
106,Uzbekistan,33.0,,37.4,,1.5,,1.6,,50.4,,3.4,,22.0,,1.5,,27.8,,43.2,,6.9,,2.5,,2.4,,,
107,Bolivia (Plurinational State of),11.5,,13.2,,1.7,,1.4,,69.8,,1.2,,7.1,,0.8,,25.6,,49.4,,11.8,,3.4,,2.8,,,
107,Indonesia,270.6,,299.2,,1.3,,1.1,,56.0,,23.9,,183.3,,16.4,,29.7,,38.7,,8.9,,2.5,,2.3,,,
107,Philippines,108.1,,123.7,,1.7,,1.4,,47.1,,10.8,,69.4,,5.7,,25.7,,47.5,,8.3,,3.3,,2.6,,,
110,Belize,0.4,,0.5,,2.6,,1.9,,45.9,,0.0,,0.3,,0.0,,25.5,,45.4,,7.4,,2.8,,2.3,,,
111,Samoa,0.2,,0.2,,0.7,,0.5,,18.1,,0.0,,0.1,,0.0,,21.8,,66.2,,8.6,,4.5,,3.9,,,
111,Turkmenistan,5.9,,6.8,,1.4,,1.6,,52.0,,0.7,,3.8,,0.3,,26.9,,47.6,,7.1,,2.7,,2.8,,,
113,Venezuela (Bolivarian Republic of),28.5,,33.6,,1.5,,-1.1,,88.2,,2.4,,18.5,,2.2,,29.6,,42.2,,11.7,,2.5,,2.3,,,
114,South Africa,58.6,,66.0,,1.3,,1.4,,66.9,,5.8,,38.4,,3.2,,27.6,,44.1,,8.3,,2.6,,2.4,,,
115,"Palestine, State of",5.0,o,6.3,o,2.5,o,2.4,o,76.4,o,0.7,o,2.9,o,0.2,a,20.8,o,66.4,o,5.5,o,4.6,o,3.7,o,,
116,Egypt,100.4,,120.8,,1.8,,2.0,,42.7,,12.8,,61.1,,5.3,,24.6,,55.6,,8.7,,3.0,,3.3,,,
117,Marshall Islands,0.1,,0.1,,0.4,,0.6,,77.4,,..,,..,,..,,..,,..,,..,,..,,..,,,
117,Viet Nam,96.5,,104.2,,1.0,,1.0,,36.6,,7.9,,66.8,,7.3,,32.5,,33.5,,10.9,,1.9,,2.1,,,
119,Gabon,2.2,,2.7,,3.1,,2.7,,89.7,,0.3,,1.3,,0.1,,22.5,,62.7,,6.0,,4.2,,4.0,,,
,Medium human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kyrgyzstan,6.4,,7.4,,1.3,,1.8,,36.6,,0.8,,4.0,,0.3,,26.0,,51.7,,7.3,,2.8,,3.0,,,
121,Morocco,36.5,,40.9,,1.2,,1.3,,63.0,,3.4,,24.0,,2.7,,29.5,,41.0,,11.1,,2.5,,2.4,,,
122,Guyana,0.8,,0.8,,0.1,,0.5,,26.7,,0.1,,0.5,,0.1,,26.7,,42.7,,10.3,,2.7,,2.5,,,
123,Iraq,39.3,,50.2,,2.0,,2.5,,70.7,,5.4,,23.0,,1.3,,21.0,,64.9,,5.8,,4.4,,3.7,,,
124,El Salvador,6.5,,6.8,,0.4,,0.5,,72.7,,0.6,,4.2,,0.5,,27.6,,41.5,,13.1,,2.4,,2.1,,,
125,Tajikistan,9.3,,11.6,,2.1,,2.4,,27.3,,1.3,,5.6,,0.3,,22.4,,61.9,,5.2,,3.6,,3.6,,,
126,Cabo Verde,0.5,,0.6,,1.2,,1.2,,66.2,,0.1,,0.4,,0.0,,27.6,,42.5,,7.0,,2.7,,2.3,,,
127,Guatemala,17.6,,21.2,,2.2,,1.9,,51.4,,2.1,,10.8,,0.9,,22.9,,55.3,,8.1,,3.6,,2.9,,,
128,Nicaragua,6.5,,7.4,,1.4,,1.3,,58.8,,0.7,,4.2,,0.4,,26.5,,46.2,,8.4,,2.7,,2.4,,,
129,Bhutan,0.8,,0.8,,1.1,,1.2,,41.6,,0.1,,0.5,,0.0,,28.1,,37.0,,8.9,,2.6,,2.0,,,
130,Namibia,2.5,,3.0,,1.8,,1.9,,51.0,,0.3,,1.5,,0.1,,21.8,,62.0,,6.1,,3.6,,3.4,,,
131,India,"1,366.4",,"1,503.6",,1.5,,1.0,,34.5,,116.8,,915.6,,87.1,,28.4,,39.7,,9.5,,2.8,,2.2,,,
132,Honduras,9.7,,11.4,,2.2,,1.7,,57.7,,1.0,,6.2,,0.5,,24.3,,48.7,,7.5,,3.2,,2.5,,,
133,Bangladesh,163.0,,179.0,,1.2,,1.1,,37.4,,14.4,,110.2,,8.4,,27.6,,40.3,,7.7,,2.5,,2.1,,,
134,Kiribati,0.1,,0.1,,2.2,,1.5,,54.8,,0.0,,0.1,,0.0,,23.0,,59.7,,6.8,,3.9,,3.6,,,
135,Sao Tome and Principe,0.2,,0.3,,2.7,,1.9,,73.6,,0.0,,0.1,,0.0,,18.6,,76.8,,5.4,,4.9,,4.4,,,
136,Micronesia (Federated States of),0.1,,0.1,,-0.6,,1.1,,22.8,,0.0,,0.1,,0.0,,24.4,,48.9,,6.5,,3.6,,3.1,,,
137,Lao People's Democratic Republic,7.2,,8.2,,1.7,,1.5,,35.6,,0.8,,4.6,,0.3,,24.4,,50.8,,6.6,,3.4,,2.7,,,
138,Eswatini (Kingdom of),1.1,,1.3,,0.7,,1.0,,24.0,,0.1,,0.7,,0.0,,20.7,,65.1,,6.9,,3.6,,3.0,,,
138,Ghana,30.4,,37.8,,2.5,,2.2,,56.7,,4.1,,18.1,,0.9,,21.5,,62.8,,5.2,,4.4,,3.9,,,
140,Vanuatu,0.3,,0.4,,2.4,,2.5,,25.4,,0.0,,0.2,,0.0,,21.1,,67.1,,6.3,,4.2,,3.8,,,
141,Timor-Leste,1.3,,1.6,,1.9,,1.9,,30.9,,0.2,,0.8,,0.1,,20.8,,63.8,,7.3,,5.3,,4.1,,,
142,Nepal,28.6,,33.4,,1.0,,1.5,,20.2,,2.7,,18.5,,1.7,,24.6,,45.7,,8.9,,2.8,,1.9,,,
143,Kenya,52.6,,66.4,,2.8,,2.3,,27.5,,7.0,,30.7,,1.3,,20.1,,67.1,,4.2,,4.7,,3.5,,,
144,Cambodia,16.5,,18.8,,1.5,,1.5,,23.8,,1.8,,10.6,,0.8,,25.6,,48.5,,7.4,,3.1,,2.5,,,
145,Equatorial Guinea,1.4,,1.9,,4.6,,3.7,,72.6,,0.2,,0.8,,0.0,,22.3,,61.0,,4.0,,5.4,,4.6,,,
146,Zambia,17.9,,24.3,,2.8,,2.9,,44.1,,2.9,,9.5,,0.4,,17.6,,83.2,,4.0,,5.6,,4.7,,,
147,Myanmar,54.0,,58.5,,0.7,,0.6,,30.9,,4.5,,36.8,,3.2,,29.0,,38.1,,8.8,,2.5,,2.2,,,
148,Angola,31.8,,44.8,,3.7,,3.3,,66.2,,5.7,,16.3,,0.7,,16.7,,91.1,,4.3,,6.4,,5.6,,,
149,Congo,5.4,,7.0,,3.3,,2.6,,67.4,,0.8,,3.0,,0.1,,19.2,,74.5,,4.9,,4.8,,4.5,,,
150,Zimbabwe,14.6,,17.6,,1.0,,1.5,,32.2,,2.1,,8.0,,0.4,,18.7,,76.8,,5.4,,3.9,,3.6,,,
151,Solomon Islands,0.7,,0.9,,2.3,,2.6,,24.2,,0.1,,0.4,,0.0,,19.9,,71.4,,6.5,,4.4,,4.4,,,
151,Syrian Arab Republic,17.1,,26.7,,3.0,,-0.6,,54.8,,1.8,,11.0,,0.8,,25.6,,48.3,,7.3,,3.7,,2.8,,,
153,Cameroon,25.9,,33.8,,2.7,,2.6,,57.0,,4.1,,14.2,,0.7,,18.7,,77.1,,5.0,,5.3,,4.6,,,
154,Pakistan,216.6,,263.0,,2.3,,2.0,,36.9,,27.7,,131.3,,9.4,,22.8,,57.8,,7.1,,4.2,,3.6,,,
155,Papua New Guinea,8.8,,10.7,,2.4,,2.0,,13.2,,1.1,,5.4,,0.3,,22.4,,58.2,,5.8,,4.1,,3.6,,,
156,Comoros,0.9,,1.1,,2.4,,2.2,,29.2,,0.1,,0.5,,0.0,,20.4,,68.1,,5.3,,4.9,,4.2,,,
,Low human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Mauritania,4.5,,6.0,,2.9,,2.8,,54.5,,0.7,,2.6,,0.1,,20.1,,70.0,,5.5,,5.1,,4.6,,,
158,Benin,11.8,,15.7,,2.8,,2.7,,47.9,,1.9,,6.4,,0.4,,18.8,,77.4,,6.0,,5.5,,4.9,,,
159,Uganda,44.3,,59.4,,3.2,,3.6,,24.4,,7.7,,22.8,,0.9,,16.7,,90.2,,3.8,,6.4,,5.0,,,
160,Rwanda,12.6,,16.2,,2.5,,2.6,,17.3,,1.8,,7.2,,0.4,,20.0,,69.5,,5.3,,4.9,,4.1,,,
161,Nigeria,201.0,,263.0,,2.6,,2.6,,51.2,,33.4,,107.7,,5.5,,18.1,,81.6,,5.1,,5.9,,5.4,,,
162,Côte d'Ivoire,25.7,,33.7,,2.2,,2.5,,51.2,,4.1,,14.3,,0.7,,18.9,,75.3,,5.2,,5.3,,4.7,,,
163,Tanzania (United Republic of),58.0,p,79.2,p,2.9,p,3.0,p,34.5,p,9.5,p,31.1,p,1.5,p,18.0,p,81.9,p,4.9,p,5.6,p,4.9,p,,
164,Madagascar,27.0,,35.6,,2.9,,2.7,,37.9,,4.0,,15.3,,0.8,,19.6,,71.3,,5.4,,4.8,,4.1,,,
165,Lesotho,2.1,,2.3,,-0.0,,0.8,,28.6,,0.3,,1.3,,0.1,,24.0,,51.9,,7.9,,3.4,,3.2,,,
166,Djibouti,1.0,,1.1,,1.4,,1.6,,77.9,,0.1,,0.6,,0.0,,26.6,,44.1,,7.0,,3.6,,2.8,,,
167,Togo,8.1,,10.4,,2.7,,2.5,,42.2,,1.2,,4.5,,0.2,,19.4,,73.1,,5.1,,5.0,,4.4,,,
168,Senegal,16.3,,21.6,,2.7,,2.8,,47.7,,2.6,,8.8,,0.5,,18.5,,79.2,,5.7,,5.1,,4.7,,,
169,Afghanistan,38.0,,48.1,,2.6,,2.5,,25.8,,5.6,,20.9,,1.0,,18.4,,77.3,,4.8,,6.5,,4.6,,,
170,Haiti,11.3,,12.7,,1.6,,1.3,,56.2,,1.3,,7.0,,0.6,,24.0,,52.9,,8.2,,3.6,,3.0,,,
170,Sudan,42.8,,55.3,,2.2,,2.4,,34.9,,6.2,,24.1,,1.6,,19.7,,71.4,,6.5,,5.0,,4.4,,,
172,Gambia,2.3,,3.2,,3.0,,2.9,,61.9,,0.4,,1.3,,0.1,,17.8,,82.8,,4.8,,5.7,,5.3,,,
173,Ethiopia,112.1,,144.9,,2.8,,2.6,,21.2,,16.6,,62.9,,3.9,,19.5,,71.8,,6.3,,5.5,,4.3,,,
174,Malawi,18.6,,24.8,,2.8,,2.7,,17.2,,2.9,,10.0,,0.5,,18.1,,80.7,,4.9,,5.7,,4.3,,,
175,Congo (Democratic Republic of the),86.8,,120.0,,3.3,,3.2,,45.0,,15.5,,44.2,,2.6,,17.0,,90.2,,5.9,,6.6,,6.0,,,
175,Guinea-Bissau,1.9,,2.5,,2.5,,2.5,,43.8,,0.3,,1.1,,0.1,,18.8,,76.7,,5.2,,5.2,,4.5,,,
