Back,Table 11. Work and employment,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SDG9.2,,SDG9.2,,SDG8.5,,SDG8.5,,SDG8.6,,SDG8.7,,SDG1.1,,SDG8.3,,SDG8.3,,,,SDG1.3,
113,Venezuela (Bolivarian Republic of),54.5,,59.7,,8.3,,75.1,,8.8,,18.8,,22.6,,..,,18.8,,..,,..,,46.57,,59.4,
114,South Africa,40.2,,56.0,,5.1,,72.0,,28.2,,56.0,,32.6,,3.6,,17.1,,35.2,,36.8,,0.81,,93.0,
115,"Palestine, State of",32.4,,43.8,,6.1,,62.3,,26.2,,42.0,,33.8,,9.4,,1.4,,50.6,,39.2,,1.40,,31.0,
116,Egypt,41.4,,46.4,,23.8,,48.5,,10.8,,31.1,,27.7,,4.8,,11.9,,54.2,,41.1,,3.68,,37.5,
117,Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,81.0,
117,Viet Nam,75.9,,77.4,,37.4,,35.0,,2.0,,7.3,,9.7,,13.1,,6.2,,58.4,,53.8,,0.33,,39.9,
119,Gabon,42.3,,52.9,,32.8,,56.4,,20.0,,36.0,,30.3,,19.6,,5.3,,..,,..,,..,,..,
,Medium human development,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kyrgyzstan,56.0,,59.8,,21.2,,54.8,,6.3,,14.4,,20.5,,22.3,,13.7,,68.1,,55.7,,0.75,,100.0,
121,Morocco,41.2,,45.3,,34.7,,43.6,,9.0,,22.1,,22.1,,..,,5.0,,..,,..,,0.45,,..,
122,Guyana,49.5,,56.2,,17.1,,60.0,,11.9,,21.3,,35.3,,10.8,,5.0,,53.9,,47.5,,0.97,,..,
123,Iraq,37.5,,43.0,,18.1,,59.6,,12.8,,25.1,,44.6,,4.5,,6.8,,..,,..,,1.30,,..,
124,El Salvador,56.7,,59.1,,16.3,,61.6,,4.1,,9.6,,27.3,,10.0,,4.4,,63.8,,71.4,,0.53,,28.5,
125,Tajikistan,37.4,,42.0,,44.9,,39.4,,11.0,,20.8,,23.0,,..,,15.9,,..,,..,,0.94,,100.0,
126,Cabo Verde,53.0,,60.5,,11.5,,66.5,,12.2,,28.0,,30.9,,..,,10.9,,57.8,,59.6,,0.75,,92.1,
127,Guatemala,60.8,,62.4,,31.5,,50.0,,2.5,,5.0,,27.6,,..,,12.9,,72.8,,78.3,,0.30,,26.2,
128,Nicaragua,61.9,,66.4,,30.7,,53.4,,6.8,,13.0,,16.7,,..,,23.0,,74.9,,78.7,,0.39,,..,
129,Bhutan,65.2,,66.7,,55.3,,33.9,,2.3,,10.5,,28.8,,3.5,,11.2,,..,,..,,4.14,,18.8,
130,Namibia,47.5,,59.5,,22.1,,61.6,,20.3,,39.5,,33.7,,..,,14.6,,47.0,,50.4,,0.65,,..,
131,India,46.7,,49.3,,42.4,,32.0,,5.4,,23.3,,30.9,,..,,42.4,,80.3,,76.0,,0.63,,25.2,
132,Honduras,65.1,,68.8,,30.3,,49.8,,5.4,,10.3,,25.7,,..,,23.1,,75.6,,79.3,,0.55,,56.9,
133,Bangladesh,56.5,,59.0,,38.6,,40.2,,4.2,,11.9,,26.1,,..,,42.6,,91.3,,91.9,,0.48,,38.0,
134,Kiribati,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.19,,12.8,
135,Sao Tome and Principe,50.1,,57.8,,19.1,,62.5,,13.4,,20.7,,22.6,,18.2,,..,,..,,..,,0.83,,52.5,
136,Micronesia (Federated States of),..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.61,,100.0,
137,Lao People's Democratic Republic,78.0,,78.5,,62.4,,25.7,,0.6,,1.7,,6.8,,28.2,,35.6,,75.5,,79.6,,2.76,,10.1,
138,Eswatini (Kingdom of),40.9,,52.5,,12.5,,63.8,,22.1,,46.5,,36.0,,7.8,,13.5,,53.4,,56.9,,1.00,,..,
138,Ghana,64.9,,67.8,,29.3,,49.0,,4.3,,9.2,,30.9,,19.9,,21.5,,83.2,,88.3,,2.12,,19.0,
140,Vanuatu,66.8,,69.9,,55.8,,37.8,,4.4,,8.8,,26.0,,15.6,,..,,..,,..,,0.78,,8.5,
141,Timor-Leste,64.3,,67.3,,44.5,,45.9,,4.5,,12.6,,19.7,,..,,62.6,,53.7,,57.2,,0.82,,100.0,
142,Nepal,82.6,,83.8,,65.0,,19.9,,1.4,,2.3,,16.0,,21.7,,33.4,,77.6,,82.4,,0.68,,66.1,
143,Kenya,72.7,,74.7,,54.4,,38.2,,2.6,,7.2,,14.8,,..,,55.5,,..,,..,,..,,13.2,
144,Cambodia,81.8,,82.3,,32.3,,38.7,,0.7,,1.1,,17.3,,12.6,,36.8,,90.6,,94.2,,0.47,,6.6,
145,Equatorial Guinea,58.0,,62.0,,42.4,,38.6,,6.4,,12.3,,24.9,,..,,24.9,,..,,..,,..,,..,
146,Zambia,66.1,,74.6,,48.8,,40.3,,11.4,,21.4,,19.7,,23.0,,64.0,,64.2,,73.8,,1.03,,8.8,
147,Myanmar,60.7,,61.7,,48.9,,35.0,,1.6,,4.0,,19.6,,9.9,,17.1,,79.6,,81.3,,0.26,,19.3,
148,Angola,72.2,,77.5,,50.4,,41.5,,6.9,,16.0,,9.6,,18.7,,53.3,,68.1,,79.5,,1.49,,..,
149,Congo,62.9,,69.4,,34.1,,44.0,,9.5,,21.4,,19.6,,14.1,,59.0,,..,,..,,..,,..,
150,Zimbabwe,79.0,,83.1,,66.5,,26.9,,5.0,,8.1,,16.0,,27.9,,43.1,,66.0,,72.8,,0.52,,20.8,
151,Solomon Islands,83.4,,83.8,,37.6,,52.9,,0.6,,1.1,,1.6,,17.9,,49.1,,..,,..,,4.99,,20.5,
151,Syrian Arab Republic,40.4,,44.1,,10.7,,62.7,,8.4,,20.9,,33.4,,..,,53.8,,..,,..,,1.64,,..,
153,Cameroon,73.5,,76.1,,43.4,,41.6,,3.4,,5.8,,16.8,,38.9,,33.6,,82.4,,88.0,,1.71,,13.0,
154,Pakistan,50.2,,52.6,,36.7,,38.0,,4.5,,8.9,,31.3,,12.8,,27.2,,71.2,,72.6,,0.72,,3.0,
155,Papua New Guinea,46.0,,47.2,,58.3,,35.0,,2.5,,4.5,,28.4,,..,,44.8,,..,,..,,0.25,,4.9,
156,Comoros,41.4,,43.3,,50.4,,36.6,,4.3,,9.9,,27.2,,28.5,,29.3,,93.4,,93.4,,4.86,,..,
,Low human development,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Mauritania,41.5,,45.9,,51.3,,35.8,,9.5,,14.8,,39.9,,14.0,,15.9,,89.4,,90.8,,9.95,,..,
158,Benin,69.3,,70.9,,38.6,,42.4,,2.2,,4.4,,14.6,,24.8,,67.5,,94.5,,97.7,,..,,11.0,
159,Uganda,69.0,,70.3,,72.7,,20.7,,1.8,,2.7,,16.6,,18.1,,65.5,,85.0,,87.0,,0.75,,24.1,
160,Rwanda,82.8,,83.7,,62.4,,28.7,,1.0,,1.7,,5.2,,19.0,,74.2,,68.7,,68.9,,0.17,,6.5,
161,Nigeria,48.6,,52.9,,35.1,,52.7,,8.1,,14.0,,22.0,,31.5,,62.0,,..,,..,,6.68,,11.0,
162,Côte d'Ivoire,55.1,,57.0,,40.0,,46.8,,3.3,,5.1,,35.1,,22.1,,48.2,,84.8,,90.0,,1.10,,..,
163,Tanzania (United Republic of),81.8,,83.4,,65.3,,27.9,,2.0,,3.6,,16.5,,24.8,,68.5,,71.8,,76.1,,0.32,,5.5,
164,Madagascar,84.6,,86.1,,64.2,,26.8,,1.8,,3.1,,5.7,,..,,85.3,,83.9,,88.6,,0.08,,..,
165,Lesotho,52.0,,67.9,,8.5,,49.2,,23.4,,33.7,,30.4,,13.9,,60.6,,..,,..,,0.24,,94.0,
166,Djibouti,54.0,,60.2,,33.1,,53.8,,10.3,,20.8,,33.2,,..,,..,,..,,..,,..,,14.2,
167,Togo,76.0,,77.6,,37.7,,49.4,,2.0,,3.5,,10.3,,22.6,,61.6,,85.3,,94.3,,1.89,,19.0,
168,Senegal,42.7,,45.7,,30.0,,56.5,,6.6,,8.2,,37.6,,22.8,,60.0,,90.4,,93.5,,0.45,,29.9,
169,Afghanistan,43.5,,48.9,,42.8,,39.0,,11.1,,17.4,,41.8,,21.4,,66.3,,..,,..,,0.39,,..,
170,Haiti,57.9,,67.2,,28.7,,64.7,,13.8,,30.7,,27.6,,35.5,,40.1,,88.1,,93.8,,..,,..,
170,Sudan,40.4,,48.4,,39.9,,43.8,,16.5,,31.4,,32.2,,18.1,,21.5,,77.3,,60.2,,..,,11.0,
172,Gambia,54.0,,59.4,,27.1,,57.2,,9.1,,12.5,,33.1,,16.9,,31.6,,75.9,,79.2,,0.47,,17.0,
173,Ethiopia,77.9,,79.6,,66.1,,23.7,,2.1,,3.2,,11.1,,48.6,,63.0,,..,,..,,0.16,,15.3,
174,Malawi,72.4,,76.7,,43.6,,42.5,,5.7,,7.5,,9.2,,19.4,,86.9,,..,,..,,0.19,,2.3,
175,Congo (Democratic Republic of the),60.8,,63.5,,65.4,,24.8,,4.2,,8.0,,21.7,,26.7,,86.5,,96.3,e,97.9,e,0.90,,..,
175,Guinea-Bissau,70.2,,72.0,,68.1,,24.9,,2.5,,3.9,,17.7,,36.2,,78.9,,..,,..,,..,,..,
175,Liberia,74.2,,76.3,,43.3,,46.5,,2.8,,2.3,,13.2,,14.0,,69.4,,90.2,,95.2,,0.76,,..,
178,Guinea,58.9,,61.5,,61.7,,32.1,,4.3,,5.3,,22.3,,24.2,,63.5,,..,,..,,..,,..,
179,Yemen,33.1,,38.0,,29.0,,61.0,,12.9,,24.0,,44.8,,..,,85.1,,68.4,,63.4,,1.53,,7.0,
180,Eritrea,74.4,,78.4,,61.2,,30.3,,5.1,,8.8,,25.6,,..,,75.1,,..,,..,,..,,..,
181,Mozambique,75.6,,78.1,,70.3,,21.2,,3.2,,6.9,,17.7,,..,,73.8,,86.7,,92.3,,0.88,,17.3,
182,Burkina Faso,62.3,,66.4,,25.2,,41.1,,6.3,,8.3,,23.0,,42.0,,69.1,,93.9,,97.1,,1.29,,2.7,
182,Sierra Leone,55.3,,57.9,,54.9,,38.6,,4.4,,9.0,,11.2,,25.2,,75.2,,..,,..,,2.96,,..,
184,Mali,65.7,,70.8,,62.6,,29.8,,7.2,,14.7,,26.5,,13.2,,76.1,,88.9,,95.4,,2.04,,2.7,
185,Burundi,78.0,,79.2,,92.0,,6.5,,1.4,,2.7,,4.0,,30.9,,89.4,,89.4,,87.3,,5.20,,4.0,
185,South Sudan,63.5,,72.4,,56.9,,29.2,,12.2,,18.8,,20.2,,..,,..,,..,,..,,..,,..,
187,Chad,69.4,,70.7,,76.6,,21.3,,1.9,,3.1,,21.5,,39.0,,61.7,,..,,..,,..,,..,
188,Central African Republic,69.3,,72.0,,77.3,,17.3,,3.7,,5.7,,20.6,,30.5,,82.5,,..,,..,,..,,..,
189,Niger,71.7,,72.0,,75.1,,17.7,,0.5,,0.6,,25.9,,34.4,,73.8,,73.4,,84.4,,1.55,,5.8,
,Other countries or territories,,,,,,,,,,,,,,,,,,,,,,,,,,
..,Korea (Democratic People's Rep. of),78.2,,80.4,,51.3,,35.3,,2.7,,6.4,,13.1,,4.3,,48.5,,..,,..,,..,,..,
..,Monaco,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
..,Nauru,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.12,,100.0,
..,San Marino,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
..,Somalia,42.0,,47.4,,83.1,,13.3,,11.4,,17.0,,25.1,,..,,85.9,,..,,..,,..,,..,
..,Tuvalu,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.97,,..,
