Back,Dashboard 4. Environmental sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Australia,89.6,,16.9,,0.34,,16.3,,-2.8,,3.2,,45.1,,30.5,,37.9,,8,,0.1,,0.0,,..,,0.821,
8,Netherlands,93.5,,9.5,,0.19,,11.2,,9.4,,8.8,,..,,..,,13.7,,14,,0.2,,..,,..,,0.940,
10,Denmark,64.9,,6.1,,0.12,,14.7,,14.7,,12.4,,79.3,,12.2,,15.7,,13,,0.3,,..,,..,,0.972,
11,Finland,40.2,,8.5,,0.19,,73.1,,1.8,,..,,61.6,,11.3,,24.7,,7,,0.1,c,0.1,,1,,0.990,
11,Singapore,90.6,,7.1,,0.10,,23.1,,-5.5,,83.2,,..,,..,,32.6,,26,,0.1,,..,,..,,0.853,
13,United Kingdom,80.4,,5.6,,0.14,,13.1,,13.8,,5.7,,169.8,,30.9,,7.8,,14,,0.2,,0.1,,..,,0.781,
14,Belgium,75.9,,8.7,,0.19,,22.6,,..,,21.8,,195.0,,21.3,,16.1,,16,,0.3,,..,,11,,0.986,
14,New Zealand,59.7,,7.3,,0.19,,38.6,,5.1,,3.0,,..,,..,,24.2,,7,,0.1,,0.0,,..,,0.623,
16,Canada,74.1,,15.3,,0.35,,38.2,,-0.4,,1.2,,71.3,,29.1,,28.8,,7,,0.4,,..,,..,,0.964,
17,United States,82.4,,16.6,,0.27,,33.9,,2.7,,14.5,,72.6,,25.4,,20.3,,13,,0.2,,1.2,,..,,0.833,
18,Austria,65.7,,7.7,,0.17,,46.9,,2.6,,4.5,,82.0,,22.4,,15.8,,15,,0.1,,0.0,,..,,0.894,
19,Israel,97.4,,7.7,,0.23,,7.7,,26.7,,67.3,,103.9,,12.6,,13.0,,15,,0.2,,..,,..,,0.723,
19,Japan,93.0,,9.1,,0.23,,68.5,,0.0,,18.9,,88.0,,80.3,,9.0,,12,,0.2,,0.4,,..,,0.776,
19,Liechtenstein,..,,4.0,,..,,43.1,,6.2,,..,,..,,..,,..,,..,,..,,..,,..,,0.993,
22,Slovenia,61.1,,6.9,,0.21,,62.0,,5.1,,2.9,,115.8,,38.7,,13.4,,23,,0.1,c,1.1,,5,,0.930,
23,Korea (Republic of),81.0,,12.9,,0.32,,63.4,,-4.1,,..,,135.4,,90.0,,15.9,,20,,1.8,,0.3,,..,,0.702,
23,Luxembourg,80.6,,15.9,,0.17,,35.7,,..,,1.3,,204.8,,14.3,,28.5,,12,,0.1,c,..,,4,,0.987,
25,Spain,73.0,,5.7,,0.16,,36.9,,33.6,,28.0,,61.6,,25.4,,11.9,,10,,0.2,,0.1,,18,,0.854,
26,France,46.5,,5.2,,0.12,,31.2,,18.5,,12.5,,117.5,,22.5,,11.9,,10,,0.3,,2.4,,12,,0.872,
27,Czechia,77.7,,9.9,,0.30,,34.6,,1.6,,12.4,,138.9,,20.3,,16.9,,30,,0.2,,0.0,,6,,0.971,
28,Malta,97.8,,3.6,,0.09,,1.1,,0.0,,85.2,,125.1,,8.9,,15.5,,20,,0.1,c,..,,..,,0.884,
29,Estonia,13.1,,14.8,,0.43,,51.3,,-1.4,,13.9,,56.2,,13.4,,35.0,,25,,0.1,c,0.8,,..,,0.985,
29,Italy,79.9,,5.6,,0.16,,31.8,,23.2,,17.9,,65.7,,17.5,,10.8,,15,,0.1,,0.1,,13,,0.899,
31,United Arab Emirates,86.1,,21.3,,0.32,,4.6,,32.1,,"1,708.0",,185.3,,50.8,,22.5,,55,,0.1,c,..,,1,,0.857,
32,Greece,82.6,,7.0,,0.24,,31.7,,23.8,,16.4,,55.7,,18.4,,10.0,,28,,0.1,c,..,,16,,0.845,
33,Cyprus,92.9,,6.3,,0.23,,18.7,,7.2,,27.7,,60.1,,40.1,,19.5,,20,,0.3,,1.4,,19,,0.982,
34,Lithuania,68.0,,4.8,,0.14,,34.8,,12.3,,1.1,,74.1,,23.9,,15.3,,34,,0.1,,..,,3,,0.989,
35,Poland,90.3,,9.1,,0.30,,30.9,,6.5,,16.7,,96.0,,29.4,,18.5,,38,,0.1,,..,,5,,0.972,
36,Andorra,..,,6.1,,..,,34.0,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,0.916,
37,Latvia,56.7,,3.7,,0.14,,54.0,,5.8,,0.5,,57.2,,20.2,,17.0,,41,,0.1,c,..,,13,,0.988,
38,Portugal,77.0,,5.0,,0.18,,34.6,,-7.8,,11.8,,59.2,,28.1,,10.0,,10,,0.2,,..,,32,,0.870,
39,Slovakia,64.1,,6.6,,0.20,,40.4,,1.0,,1.1,,94.5,,18.8,,10.7,,34,,0.1,c,..,,4,,0.961,
40,Hungary,69.5,,5.1,,0.18,,22.9,,14.3,,4.3,,94.2,,26.0,,16.9,,39,,0.2,,..,,13,,0.875,
40,Saudi Arabia,99.9,,18.4,,0.34,,0.5,,0.0,,883.3,,47.8,,26.3,,25.0,,84,,0.1,,..,,4,,0.907,
42,Bahrain,99.4,,19.8,,0.47,,0.8,,145.9,,132.2,,..,,..,,28.6,,40,,0.1,c,..,,..,,0.751,
43,Chile,74.6,,4.6,,0.22,,24.3,,18.2,,..,,157.1,,47.2,,41.8,,25,,0.2,,0.3,,1,,0.763,
43,Croatia,70.7,,4.5,,0.18,,34.4,,3.8,,0.6,,113.5,,40.7,,10.1,,35,,0.1,,0.6,,..,,0.897,
45,Qatar,100.0,,38.0,,0.26,,0.0,,0.0,,432.4,,82.4,,29.4,,52.5,,47,,0.1,c,..,,6,,0.821,
46,Argentina,87.7,,4.4,,0.22,,9.8,,-22.9,,4.3,,28.8,,17.1,,16.1,,27,,0.4,,0.0,,39,,0.849,
47,Brunei Darussalam,100.0,,18.5,,0.22,,72.1,,-8.0,,..,,..,,..,,22.9,,13,,0.1,c,..,,..,,0.861,
48,Montenegro,64.7,,3.2,,0.22,,61.5,,32.1,,..,,..,,..,,13.4,,79,,0.1,c,0.5,,6,,0.806,
49,Romania,72.5,,3.8,,0.16,,30.1,,8.4,,3.2,,37.7,,13.8,,11.7,,59,,0.4,,6.3,,2,,0.930,
50,Palau,..,,13.2,,..,,87.6,,..,,..,,..,,..,,1.2,,..,,..,,..,,..,,0.727,
51,Kazakhstan,99.2,,17.6,,0.60,,1.2,,-3.3,,20.7,,3.5,,4.1,,29.1,,63,,0.4,,0.0,,36,,0.867,
52,Russian Federation,92.1,,11.7,,0.48,,49.8,,0.8,,1.4,,12.5,,4.9,,16.9,,49,,0.1,,0.4,,6,,0.954,
53,Belarus,92.4,,6.9,,0.34,,42.6,,11.1,,2.4,,69.5,,18.0,,17.5,,61,,0.1,,..,,1,,0.970,
54,Turkey,86.8,,5.2,,0.19,,15.4,,22.8,,27.8,,65.9,,22.5,,18.7,,47,,0.3,,0.1,,9,,0.876,
55,Uruguay,46.3,,2.0,,0.08,,10.7,,134.1,,..,,85.8,,75.9,,37.6,,18,,0.4,,0.1,,26,,0.855,
56,Bulgaria,71.0,,6.3,,0.33,,35.4,,17.6,,26.6,,92.1,,19.2,,19.6,,62,,0.1,,0.0,,..,,0.941,
57,Panama,80.7,,2.6,,0.11,,61.9,,-8.7,,0.9,,15.5,,9.9,,7.6,,26,,1.9,,0.6,,14,,0.746,
58,Bahamas,..,,4.7,,..,,51.4,,0.0,,..,,55.2,,32.6,,3.0,,20,,0.1,,..,,..,,0.702,
58,Barbados,..,,4.5,,..,,14.7,,0.0,,..,,28.8,,20.9,,2.3,,31,,0.2,,1.4,,..,,0.898,
60,Oman,100.0,,13.9,,0.38,,0.0,,0.0,,116.7,,93.9,,28.3,,31.7,,54,,0.1,c,..,,7,,0.891,
61,Georgia,72.2,,2.6,,0.25,,40.6,,2.6,,2.9,,95.9,,8.4,,6.8,,102,,0.2,,0.2,,6,,0.871,
62,Costa Rica,49.9,,1.6,,0.10,,54.6,,8.7,,2.8,,165.2,,28.7,,8.6,,23,,0.9,,0.1,,9,,0.831,
62,Malaysia,96.6,,8.1,,0.25,,67.6,,-0.7,,1.2,,46.2,,36.8,,19.3,,47,,0.4,,0.0,,16,,0.769,
64,Kuwait,93.7,,23.7,,0.34,,0.4,,81.2,,..,,..,,..,,29.6,,104,,0.1,c,0.0,,64,,0.838,
64,Serbia,83.9,,5.2,,0.49,,31.1,,9.9,,3.3,,41.7,,7.9,,11.8,,62,,0.7,,0.0,,6,,0.957,
66,Mauritius,84.5,,3.8,,0.17,,19.0,,-6.0,,22.2,,93.8,,30.8,,11.6,,38,,0.6,,0.8,,27,,0.413,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Seychelles,..,,6.7,,..,,88.4,,0.0,,..,,30.2,,7.6,,2.3,,49,,0.2,,1.0,,12,,0.686,
67,Trinidad and Tobago,99.9,,31.3,,0.47,,46.0,,-1.9,,8.8,,138.3,,10.6,,19.9,,39,,0.1,,0.1,,..,,0.806,
69,Albania,61.4,,1.6,,0.13,,28.1,,-2.3,,3.9,,35.6,,19.2,,10.1,,68,,0.2,,0.1,,8,,0.838,
70,Cuba,85.6,,2.5,,0.11,,31.3,,63.2,,18.3,,15.0,,6.6,,7.7,,50,,1.0,,..,,..,,0.663,
70,Iran (Islamic Republic of),99.0,,8.8,,0.38,,6.6,,17.8,,..,,34.3,,6.0,,14.8,,51,,1.0,,0.0,,23,,0.842,
72,Sri Lanka,50.5,,1.1,,0.09,,32.9,,-9.7,,..,,29.0,,17.3,,5.6,,80,,1.2,,0.5,,36,,0.574,
73,Bosnia and Herzegovina,77.5,,6.5,,0.57,,42.7,,-1.1,,1.1,,61.5,,7.0,,14.0,,80,,0.1,,..,,4,,0.901,
74,Grenada,..,,2.4,,..,,50.0,,0.0,,7.1,,..,,..,,1.0,,45,,0.3,,..,,..,,0.675,
74,Mexico,90.4,,3.8,,0.21,,33.9,,-5.5,,19.0,,50.1,,31.1,,10.0,,37,,1.1,,0.5,,47,,0.677,
74,Saint Kitts and Nevis,..,,4.6,,..,,42.3,,0.0,,51.3,,..,,..,,..,,..,,..,,3.9,,..,,0.734,
74,Ukraine,75.3,,5.1,,0.52,,16.7,,4.4,,4.9,,41.6,,12.2,,12.5,,71,,0.3,,0.0,,25,,0.934,
78,Antigua and Barbuda,..,,5.9,,..,,22.3,,-4.9,,8.5,,1.7,,0.5,,2.8,,30,,0.1,,3.2,,..,,0.890,
79,Peru,79.6,,1.7,,0.13,,57.7,,-5.3,,0.9,,51.2,,15.6,,15.4,,64,,1.3,,0.5,,..,,0.729,
79,Thailand,79.8,,4.2,,0.22,,32.2,,17.3,,13.1,,71.1,,17.3,,12.7,,61,,3.5,,0.1,,21,,0.783,
81,Armenia,74.6,,1.9,,0.20,,11.7,,-0.8,,36.9,,178.5,,0.1,,11.1,,55,,0.2,,14.4,,2,,0.845,
82,North Macedonia,79.4,,3.5,,0.27,,39.6,,10.3,,8.2,,39.0,,9.0,,14.5,,82,,0.1,,..,,..,,0.970,
83,Colombia,76.7,,2.0,,0.12,,52.7,,-9.2,,0.5,,57.1,,19.9,,6.8,,37,,0.8,,0.8,,7,,0.749,
84,Brazil,59.1,,2.2,,0.15,,58.9,,-9.9,,0.8,,80.6,,80.3,,17.4,,30,,1.0,,0.1,,27,,0.900,
85,China,87.7,,7.0,,0.45,,22.4,,33.6,,20.9,,208.5,,58.0,,25.0,,113,,0.6,,0.0,,27,,0.743,
86,Ecuador,86.9,,2.5,,0.20,,50.2,,-5.0,,..,,87.7,,16.8,,9.3,,25,,0.6,,0.0,,30,,0.660,
86,Saint Lucia,..,,2.3,,..,,33.2,,-7.2,,14.3,,13.2,,13.6,,..,,30,,0.6,,2.8,,..,,0.838,
88,Azerbaijan,98.4,,3.7,,0.20,,14.1,,37.7,,36.9,,50.6,,0.0,,9.2,,64,,1.1,,..,,..,,0.910,
88,Dominican Republic,86.6,,2.3,,0.14,,41.7,,82.5,,30.4,,72.8,,24.3,,5.8,,43,,2.2,,..,,..,,0.733,
90,Moldova (Republic of),88.7,,1.3,,0.42,,12.6,,29.6,,6.9,,33.3,,12.5,,8.8,,78,,0.1,,..,,29,,0.968,
91,Algeria,100.0,,3.7,,0.23,,0.8,,17.8,,84.0,,8.2,,6.9,,9.0,,50,,1.9,,0.0,,1,,0.908,
92,Lebanon,97.6,,3.5,,0.34,,13.4,,4.9,,40.2,,65.6,,47.3,,10.0,,51,,0.8,,0.2,,..,,0.919,
93,Fiji,..,,2.4,,..,,55.9,,7.3,,..,,12.0,,6.3,,6.5,,99,,2.9,,0.2,,..,,0.668,
94,Dominica,..,,2.5,,..,,57.4,,-13.9,,10.0,,2.2,,1.8,,4.6,,..,,..,,2.8,,..,,0.675,
95,Maldives,..,,3.0,,..,,3.3,,0.0,,15.7,,58.9,,3.2,,6.8,,26,,0.3,,0.2,,..,,0.850,
95,Tunisia,88.9,,2.7,,0.21,,6.8,,63.5,,103.3,,14.4,,7.5,,9.3,,56,,1.0,,0.2,,13,,0.974,
97,Saint Vincent and the Grenadines,..,,2.0,,..,,69.2,,8.0,,7.9,,..,,..,,..,,48,,1.3,,11.0,,..,,0.767,
97,Suriname,76.3,,3.1,,0.25,,98.3,,-0.7,,..,,102.7,,9.0,,13.5,,57,,2.0,,..,,21,,0.983,
99,Mongolia,93.2,,8.9,,0.54,,8.0,,-0.6,,1.3,,30.4,,0.6,,34.5,,156,,1.3,,6.3,,13,,0.950,
100,Botswana,74.7,,3.0,,0.22,,18.9,,-21.7,,1.6,,80.9,,4.3,,29.5,,101,,11.8,,0.0,,51,,0.974,
101,Jamaica,81.0,,2.8,,0.30,,30.9,,-2.8,,12.5,,17.2,,7.6,,6.5,,25,,0.6,,0.0,,..,,0.666,
102,Jordan,97.6,,2.4,,0.32,,1.1,,-0.6,,96.4,,71.2,,5.8,,7.6,,51,,0.6,,0.1,,4,,0.965,
103,Paraguay,33.7,,1.1,,0.10,,37.7,,-29.1,,0.6,,27.6,,46.0,,12.5,,57,,1.5,,0.1,,52,,0.950,
104,Tonga,..,,1.3,,..,,12.5,,0.0,,..,,2.1,,1.6,,16.9,,73,,1.4,,1.0,,..,,0.724,
105,Libya,99.1,,8.1,,0.37,,0.1,,0.0,,822.9,,7.2,,0.9,,11.0,,72,,0.6,,..,,..,,0.972,
106,Uzbekistan,97.7,,2.8,,0.41,,7.5,,5.4,,120.5,,161.6,,50.6,,9.1,,81,,0.4,,..,,29,,0.969,
107,Bolivia (Plurinational State of),84.2,,2.0,,0.29,,50.3,,-13.2,,0.4,,3.0,,2.7,,13.0,,64,,5.6,,0.3,,18,,0.871,
107,Indonesia,66.1,,2.3,,0.17,,49.9,,-23.8,,11.0,,63.1,,15.9,,7.5,,112,,7.1,,0.2,,21,,0.751,
107,Philippines,62.4,,1.3,,0.16,,27.8,,26.3,,19.4,,59.4,,12.2,,4.0,,185,,4.2,,0.2,,38,,0.676,
110,Belize,..,,1.5,,..,,59.7,,-15.8,,..,,87.7,,55.4,,11.5,,69,,1.0,,0.3,,81,,0.845,
111,Samoa,..,,1.3,,..,,60.4,,31.5,,..,,0.2,,0.2,,5.3,,85,,1.5,,0.5,,..,,0.767,
111,Turkmenistan,..,,13.7,,0.75,,8.8,,0.0,,..,,..,,..,,16.5,,79,,4.0,,..,,22,,0.977,
113,Venezuela (Bolivarian Republic of),88.4,,4.8,,0.33,,52.7,,-10.6,,1.7,,79.0,,27.9,,6.7,,35,,1.4,,0.1,,15,,0.828,
114,South Africa,86.8,,8.1,,0.62,,7.6,,0.0,,37.7,,37.9,,21.6,,11.3,,87,,13.7,,0.5,,78,,0.776,
115,"Palestine, State of",..,,0.7,,..,,1.5,,1.0,,34.4,,..,,..,,..,,..,,..,,0.0,,15,,0.921,
116,Egypt,97.9,,2.4,,0.21,,0.1,,67.3,,112.0,,342.3,,68.9,,7.9,,109,,2.0,,3.2,,1,,0.914,
117,Marshall Islands,..,,2.6,,..,,70.2,,..,,..,,..,,..,,2.0,,..,,..,,..,,..,,0.838,
117,Viet Nam,69.8,,2.2,,0.33,,48.1,,67.1,,..,,136.5,,65.1,,14.7,,64,,1.6,,0.1,,31,,0.728,
119,Gabon,22.8,,2.5,,0.10,,90.0,,5.5,,..,,12.6,,7.4,,6.0,,76,,20.6,,..,,16,,0.956,
,Medium human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kyrgyzstan,75.5,,1.6,,0.43,,3.3,,-24.8,,..,,18.3,,1.6,,8.4,,111,,0.8,,0.3,,24,,0.985,
121,Morocco,88.5,,1.8,,0.22,,12.6,,13.5,,35.7,,27.4,,17.5,,7.9,,49,,1.9,,0.2,,19,,0.889,
122,Guyana,..,,3.1,,..,,83.9,,-0.9,,0.5,,42.2,,9.7,,24.5,,108,,3.6,,0.4,,16,,0.880,
123,Iraq,96.0,,5.3,,0.24,,1.9,,3.4,,42.9,,34.5,,12.5,,6.3,,75,,3.0,,20.9,,26,,0.793,
124,El Salvador,48.4,,1.1,,0.13,,12.6,,-30.9,,..,,64.2,,14.4,,5.3,,42,,2.0,,0.1,,16,,0.832,
125,Tajikistan,46.0,,0.6,,0.23,,3.0,,1.9,,..,,9.3,,3.9,,3.5,,129,,2.7,,0.1,,97,,0.990,
126,Cabo Verde,..,,1.2,,..,,22.5,,57.3,,..,,..,,..,,6.9,,99,,4.1,,0.2,,17,,0.904,
127,Guatemala,37.4,,1.1,,0.13,,32.7,,-26.2,,..,,84.5,,25.8,,6.6,,74,,6.3,,0.6,,24,,0.730,
128,Nicaragua,40.7,,0.9,,0.16,,25.9,,-31.0,,0.9,,27.0,,7.7,,6.7,,56,,2.2,,0.6,,..,,0.851,
129,Bhutan,..,,1.6,,..,,72.5,,35.1,,0.4,,28.2,,3.5,,10.4,,124,,3.9,,3.7,,10,,0.798,
130,Namibia,66.7,,1.7,,0.17,,8.3,,-21.9,,..,,25.1,,1.2,,11.2,,145,,18.3,,35.9,,19,,0.969,
131,India,73.6,,2.0,,0.26,,23.8,,10.8,,33.9,,104.1,,41.1,,5.5,,184,,18.6,,..,,30,,0.676,
132,Honduras,52.5,,1.0,,0.23,,40.0,,-45.0,,..,,69.0,,21.7,,5.2,,61,,3.6,,5.3,,..,,0.765,
133,Bangladesh,73.8,,0.5,,0.14,,11.0,,-4.5,,2.9,,154.7,,82.6,,2.7,,149,,11.9,,0.2,,65,,0.752,
134,Kiribati,..,,0.6,,..,,15.0,,0.0,,..,,..,,..,,6.3,,140,,16.7,,..,,..,,0.772,
135,Sao Tome and Principe,..,,0.6,,..,,55.8,,-4.3,,1.9,,..,,..,,3.2,,162,,11.4,,..,,..,,0.799,
136,Micronesia (Federated States of),..,,1.3,,..,,91.9,,..,,..,,..,,..,,2.3,,152,,3.6,,9.2,,..,,0.697,
137,Lao People's Democratic Republic,..,,2.7,,..,,82.1,,7.4,,..,,..,,..,,12.0,,188,,11.3,,0.8,,..,,0.830,
138,Eswatini (Kingdom of),..,,1.1,,..,,34.3,,25.1,,..,,..,,..,,9.4,,137,,27.9,,2.0,,13,,0.812,
138,Ghana,52.5,,0.6,,0.12,,41.2,,8.6,,..,,7.5,,5.5,,7.0,,204,,18.8,,0.5,,14,,0.847,
140,Vanuatu,..,,0.5,,..,,36.1,,0.0,,..,,..,,..,,6.1,,136,,10.4,,4.1,,..,,0.661,
141,Timor-Leste,..,,0.4,,..,,45.4,,-30.1,,..,,..,,..,,7.7,,140,,9.9,,0.2,,..,,0.854,
142,Nepal,15.5,,0.3,,0.14,,25.4,,-24.7,,..,,54.7,,20.9,,3.9,,194,,19.8,,1.9,,..,,0.831,
143,Kenya,17.4,,0.4,,0.11,,7.8,,-5.8,,13.1,,9.5,,2.3,,3.2,,78,,51.2,,1.8,,40,,0.798,
144,Cambodia,30.6,,0.6,,0.19,,52.9,,-27.9,,..,,31.4,,0.9,,5.3,,150,,6.5,,0.3,,33,,0.790,
145,Equatorial Guinea,..,,4.3,,..,,55.5,,-16.3,,..,,..,,..,,19.2,,178,,22.3,,1.3,,19,,0.822,
146,Zambia,10.6,,0.3,,0.10,,65.2,,-8.2,,..,,38.6,,9.6,,8.4,,127,,34.9,,0.1,,7,,0.875,
147,Myanmar,44.3,,0.5,,0.10,,43.6,,-27.3,,..,,21.6,,11.7,,3.5,,156,,12.6,,1.0,,23,,0.800,
148,Angola,48.3,,1.1,,0.10,,46.3,,-5.3,,..,,4.2,,1.2,,4.9,,119,,48.8,,0.9,,20,,0.932,
149,Congo,40.5,,0.6,,0.11,,65.4,,-1.8,,..,,0.5,,0.7,,3.5,,131,,38.7,,..,,10,,0.966,
150,Zimbabwe,29.1,,0.8,,0.27,,35.5,,-38.0,,16.7,,15.9,,11.8,,3.4,,133,,24.6,,2.3,,36,,0.792,
151,Solomon Islands,..,,0.3,,..,,77.9,,-6.2,,..,,..,,..,,7.1,,137,,6.2,,3.7,,..,,0.762,
151,Syrian Arab Republic,97.8,,1.7,,0.79,,2.7,,32.1,,..,,0.9,,0.6,,10.6,,75,,3.7,,0.2,,..,,0.940,
153,Cameroon,38.3,,0.3,,0.08,,39.3,,-23.5,,..,,6.0,,1.2,,4.2,,208,,45.2,,3.9,,0,,0.840,
154,Pakistan,61.6,,1.1,,0.19,,1.9,,-43.5,,81.0,,110.1,,40.2,,4.4,,174,,19.6,,0.1,,5,,0.859,
155,Papua New Guinea,..,,0.9,,..,,74.1,,-0.2,,..,,31.7,,2.9,,10.2,,152,,16.3,,0.4,,21,,0.836,
156,Comoros,..,,0.3,,..,,19.7,,-25.3,,..,,..,,..,,3.5,,172,,50.7,,0.7,,22,,0.745,
,Low human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Mauritania,..,,0.6,,..,,0.2,,-46.7,,..,,..,,..,,7.4,,169,,38.6,,..,,3,,0.975,
158,Benin,36.7,,0.6,,0.30,,37.8,,-26.0,,..,,14.1,,8.1,,5.2,,205,,59.7,,..,,53,,0.910,
159,Uganda,..,,0.1,,..,,9.7,,-59.3,,1.1,,1.2,,0.7,,2.9,,156,,31.6,,0.3,,22,,0.755,
160,Rwanda,..,,0.1,,..,,19.7,,53.1,,..,,3.1,,4.9,,2.9,,121,,19.3,,0.3,,12,,0.884,
161,Nigeria,18.9,,0.6,,0.09,,7.2,,-61.8,,4.4,,10.9,,2.9,,3.5,,307,,68.6,,..,,32,,0.856,
162,Côte d'Ivoire,26.5,,0.3,,0.12,,32.7,,1.7,,1.4,,4.6,,3.3,,3.0,,269,,47.2,,0.2,,14,,0.905,
163,Tanzania (United Republic of),14.4,,0.2,,0.07,,51.6,,-18.3,,..,,9.1,,3.7,,3.2,,139,,38.4,,0.1,,..,,0.701,
164,Madagascar,..,,0.2,,..,,21.4,,-9.1,,..,,8.0,,1.3,,2.4,,160,,30.2,,0.4,,30,,0.761,
165,Lesotho,..,,1.3,,..,,1.6,,25.0,,..,,..,,..,,11.7,,178,,44.4,,..,,20,,0.945,
166,Djibouti,..,,0.7,,..,,0.2,,0.0,,..,,..,,..,,2.9,,159,,31.3,,3.2,,..,,0.810,
167,Togo,17.8,,0.4,,0.18,,3.1,,-75.4,,..,,1.5,,0.1,,4.2,,250,,41.6,,0.1,,12,,0.862,
168,Senegal,53.9,,0.7,,0.17,,42.8,,-11.9,,..,,11.3,,6.1,,3.2,,161,,23.9,,0.0,,6,,0.941,
169,Afghanistan,..,,0.3,,..,,2.1,,0.0,,..,,5.9,,1.6,,1.9,,211,,13.9,,1.2,,8,,0.837,
170,Haiti,22.0,,0.3,,0.19,,3.5,,-17.1,,10.3,,..,,..,,1.6,,184,,23.8,,..,,..,,0.719,
170,Sudan,31.7,,0.5,,0.11,,..,,..,,71.2,,8.2,,0.2,,5.4,,185,,17.3,,0.9,,12,,0.928,
172,Gambia,..,,0.3,,..,,48.4,,10.8,,..,,4.5,,1.6,,2.5,,237,,29.7,,10.4,,14,,0.967,
173,Ethiopia,6.6,,0.1,,0.07,,12.5,,..,,8.7,,23.5,,9.2,,3.2,,144,,43.7,,0.0,,29,,0.847,
174,Malawi,..,,0.1,,..,,33.2,,-19.7,,..,,23.2,,6.2,,3.3,,115,,28.3,,7.1,,17,,0.808,
175,Congo (Democratic Republic of the),5.4,,0.0,,0.03,,67.2,,-5.0,,..,,0.7,,0.1,,2.3,,164,,59.8,,..,,6,,0.891,
175,Guinea-Bissau,..,,0.2,,..,,69.8,,-11.5,,..,,..,,..,,3.9,,215,,35.3,,0.1,,15,,0.908,
175,Liberia,..,,0.3,,..,,43.1,,-15.8,,..,,..,,..,,3.1,,170,,41.5,,0.9,,29,,0.905,
178,Guinea,..,,0.3,,..,,25.8,,-12.9,,..,,2.5,,0.0,,3.8,,243,,44.6,,0.5,,11,,0.896,
179,Yemen,98.5,,0.4,,0.14,,1.0,,0.0,,..,,2.6,,0.3,,2.3,,194,,10.2,,0.7,,..,,0.859,
180,Eritrea,23.1,,0.2,,0.08,,14.9,,-7.1,,..,,6.7,,0.1,,7.0,,174,,45.6,,..,,35,,0.893,
