Back,Dashboard 2. Life-course gender gap ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Australia,1.06,,0.96,,1.00,,0.89,,0.85,,1.00,,1.02,,46.9,,36.6,,33.9,,..,,..,,1.06,
8,Netherlands,1.05,,1.00,,1.00,,1.01,,0.88,,0.97,,1.10,,46.5,,33.8,,31.8,,14.7,e,1.6,e,1.00,
10,Denmark,1.06,,0.99,,0.99,,1.01,,0.89,,1.00,,1.11,,47.8,,39.1,,33.3,,15.6,e,1.4,e,1.02,
11,Finland,1.05,,1.00,,0.99,,1.10,,0.77,,1.00,,0.92,,49.0,,47.0,,39.1,,14.5,d,1.5,d,1.00,
11,Singapore,1.07,,..,,1.00,,0.99,,1.88,,0.92,,1.09,,41.8,,23.0,,..,,..,,..,,..,
13,United Kingdom,1.05,,1.00,,1.00,,1.03,,0.66,,0.98,,0.87,,47.2,,28.9,,34.3,,12.7,,1.8,,1.00,
14,Belgium,1.05,,1.00,,1.00,,1.12,,0.74,,0.96,,0.86,,46.6,,43.3,,39.0,,15.9,f,1.6,f,1.00,
14,New Zealand,1.06,,1.01,,1.00,,1.06,,1.07,,1.01,,1.20,,48.4,,40.8,,39.4,,18.1,f,1.7,f,1.00,
16,Canada,1.05,,..,,1.00,,1.01,,0.82,,1.00,,0.90,,47.8,,33.2,,26.6,,14.6,,1.5,,1.00,
17,United States,1.05,,1.01,,0.99,,0.99,,0.76,,1.00,,0.97,,46.3,,23.7,,..,,15.4,,1.6,,0.87,
18,Austria,1.06,,0.99,,1.00,,0.96,,0.89,,1.00,,0.95,,46.7,,38.5,,23.1,,18.3,d,1.9,d,0.99,
19,Israel,1.05,,1.00,,1.01,,1.02,,1.16,,0.97,,1.02,,47.6,,23.3,,17.1,,..,,..,,..,
19,Japan,1.06,,..,,..,,..,,0.73,,1.03,,0.89,,44.3,,14.5,,12.9,,14.4,d,4.7,d,..,
19,Liechtenstein,..,,1.04,,0.97,,0.81,,..,,..,,..,,..,,12.0,,39.1,,..,,..,,..,
22,Slovenia,1.06,,0.98,,1.00,,1.02,,1.46,,0.99,,1.23,,46.3,,22.3,,33.7,,..,,..,,..,
23,Korea (Republic of),1.06,,1.00,,1.00,,0.99,,0.82,,0.84,,0.90,,42.3,,16.7,,18.6,,14.0,d,4.2,d,0.96,
23,Luxembourg,1.05,,0.98,,0.99,,1.02,,0.84,,1.00,,1.20,,45.9,,25.0,,25.1,,14.4,d,2.0,d,0.66,
25,Spain,1.06,,1.00,,1.02,,1.01,,1.10,,0.94,,1.35,,46.0,,41.9,,38.5,,19.0,e,2.2,e,0.47,
26,France,1.05,,1.00,,0.99,,1.01,,0.86,,0.94,,0.99,,48.6,,36.9,,40.4,,15.8,,1.7,,1.00,
27,Czechia,1.06,,0.97,,1.01,,1.01,,1.10,,1.00,,1.52,,45.0,,20.6,,27.1,,..,,..,,1.00,
28,Malta,1.06,,0.99,,1.00,,1.00,,0.58,,0.92,,1.16,,41.0,,14.9,,26.3,,..,,..,,0.43,
29,Estonia,1.07,,0.99,,1.00,,1.02,,0.94,,1.00,,0.95,,49.0,,29.7,,28.6,,17.2,d,1.6,d,1.00,
29,Italy,1.06,,0.98,,0.97,,0.99,,1.19,,0.91,,1.18,,42.7,,35.3,,31.8,,20.4,,2.4,,0.83,
31,United Arab Emirates,1.05,,0.95,,0.98,,0.92,,2.26,,0.94,,3.88,,17.2,,50.0,,..,,..,,..,,..,
32,Greece,1.07,,1.01,,1.00,,0.94,,1.05,,0.85,,1.63,,41.6,,20.7,,..,,17.5,d,2.6,d,..,
33,Cyprus,1.07,,0.99,,1.00,,0.98,,0.84,,0.95,,1.24,,46.2,,17.9,,..,,..,,..,,0.77,
34,Lithuania,1.06,,0.99,,1.00,,0.96,,0.86,,0.97,,0.99,,51.5,,21.3,,29.4,,..,,..,,1.00,
35,Poland,1.06,,0.99,,1.00,,0.97,,1.02,,0.94,,1.02,,45.2,,27.9,,26.9,,17.6,d,1.8,d,1.00,
36,Andorra,..,,..,,..,,..,,..,,0.97,,..,,..,,46.4,,35.8,,..,,..,,..,
37,Latvia,1.07,,0.99,,1.00,,0.99,,0.75,,1.00,,0.76,,52.0,,30.0,,34.0,,..,,..,,1.00,
38,Portugal,1.06,,0.99,,0.97,,0.98,,1.21,,0.98,,1.21,,49.9,,38.7,,..,,17.8,,1.7,,0.77,
39,Slovakia,1.05,,0.98,,0.99,,1.01,,1.40,,0.99,,1.23,,45.6,,20.0,,25.9,,..,,..,,1.00,
40,Hungary,1.06,,0.96,,0.99,,1.00,,0.84,,0.98,,1.04,,46.5,,12.6,,30.5,,16.6,d,2.2,d,1.00,
40,Saudi Arabia,1.03,,1.05,,1.01,,0.94,,2.97,,0.90,,7.67,,13.4,,19.9,,1.1,,..,,..,,..,
42,Bahrain,1.04,,1.03,,0.99,,1.06,,7.81,,0.92,,19.75,,19.8,,18.8,,13.3,,..,,..,,..,
43,Chile,1.04,,0.98,,0.97,,1.00,,1.17,,0.96,,1.16,,43.8,,22.7,,24.9,,22.1,f,2.2,f,1.59,
43,Croatia,1.06,,0.98,,1.00,,1.05,,1.54,,0.97,,1.59,,46.3,,20.5,,26.4,,..,,..,,..,
45,Qatar,1.05,,1.01,,1.01,,..,,9.77,,1.15,,11.68,,13.8,,9.8,,..,,8.2,,3.7,,0.36,
46,Argentina,1.04,,1.01,,1.00,,1.04,,1.29,,1.08,,1.22,,42.4,,39.9,,..,,23.4,,2.5,,..,
47,Brunei Darussalam,1.06,,1.01,,1.01,,1.02,,1.03,,0.98,,1.16,,42.8,,9.1,,..,,..,,..,,..,
48,Montenegro,1.07,,0.90,,0.95,,1.01,,0.81,,0.90,,1.11,,43.6,,28.4,,27.8,,..,,..,,..,
49,Romania,1.06,,1.00,,0.99,,1.00,,0.96,,0.94,,0.78,,43.3,,19.6,,12.5,,19.0,d,2.0,d,1.00,
50,Palau,..,,1.17,,0.88,,1.11,,..,,1.00,,..,,..,,13.8,,..,,..,,..,,..,
51,Kazakhstan,1.07,,1.02,,1.02,,1.01,,1.09,,1.00,,1.30,,48.6,,22.1,,22.2,,17.9,d,3.0,d,..,
52,Russian Federation,1.06,,0.98,,1.00,,0.98,,1.11,,1.01,,0.95,,49.6,,16.5,,..,,18.4,,2.3,,1.00,
53,Belarus,1.06,,0.96,,1.00,,0.99,,0.67,,0.94,,0.58,,51.6,,34.9,,48.2,,19.2,d,2.0,d,..,
54,Turkey,1.05,,0.96,,0.99,,0.95,,1.31,,0.69,,1.36,,28.9,,17.4,,10.1,,19.2,,5.2,,..,
55,Uruguay,1.05,,1.00,,0.98,,1.11,,1.33,,1.08,,1.50,,46.7,,20.9,,26.1,,19.9,,2.4,,1.04,
56,Bulgaria,1.06,,0.98,,0.99,,0.97,,0.88,,0.98,,0.85,,47.5,,25.8,,27.2,,18.5,e,2.0,e,1.00,
57,Panama,1.05,,1.02,,0.98,,1.06,,1.89,,1.09,,1.62,,42.7,,21.1,,9.0,,18.0,,2.4,,..,
58,Bahamas,1.06,,1.08,,1.00,,1.06,,1.36,,0.97,,1.08,,48.2,,21.8,,..,,..,,..,,..,
58,Barbados,1.04,,1.02,,0.96,,1.04,,1.12,,1.03,,1.07,,49.7,,29.4,,..,,..,,..,,..,
60,Oman,1.05,,1.05,,1.10,,0.92,,3.72,,1.15,,9.00,,12.0,,9.9,,3.5,,18.9,,2.5,,..,
61,Georgia,1.07,,..,,1.01,,1.01,,1.21,,0.99,,0.82,,43.9,,14.8,,13.5,,..,,..,,0.92,
62,Costa Rica,1.05,,1.01,,1.01,,1.08,,1.50,,1.04,,1.49,,41.1,,45.6,,45.6,,21.3,f,2.6,f,..,
62,Malaysia,1.06,,1.02,,1.01,,1.08,,1.13,,0.94,,1.22,,39.9,,15.5,,..,,..,,..,,..,
64,Kuwait,1.05,,1.05,,1.10,,1.06,,2.92,,1.15,,5.19,,24.7,,4.6,,..,,..,,..,,..,
64,Serbia,1.07,,0.99,,1.00,,1.01,,1.11,,0.92,,1.17,,45.2,,37.7,,31.2,,19.2,,2.2,,..,
66,Mauritius,1.04,,1.01,,1.03,,1.06,,1.70,,0.96,,2.22,,38.5,,20.0,,26.2,,..,,..,,..,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Seychelles,1.06,,1.02,,1.06,,1.07,,..,,..,,..,,..,,21.2,,..,,..,,..,,..,
67,Trinidad and Tobago,1.04,,..,,..,,..,,1.04,,1.05,,1.09,,43.2,,32.9,,..,,..,,..,,..,
69,Albania,1.09,,1.01,,1.04,,1.01,,0.80,,1.01,,0.90,,39.2,,29.5,,43.6,,21.7,d,6.3,d,..,
70,Cuba,1.06,,1.00,,0.96,,1.02,,0.89,,0.96,,1.15,,43.2,,53.2,,34.9,,21.0,,1.7,,..,
70,Iran (Islamic Republic of),1.05,,1.03,,1.06,,0.96,,1.79,,0.92,,1.93,,17.3,,5.9,,3.2,,21.0,,4.0,,0.10,
72,Sri Lanka,1.04,,0.99,,0.99,,1.05,,1.77,,0.98,,2.33,,32.5,,5.3,,10.9,,..,,..,,..,
73,Bosnia and Herzegovina,1.07,,..,,..,,..,,1.26,,0.83,,1.25,,37.9,,21.1,,18.6,,..,,..,,..,
74,Grenada,1.05,,1.04,,0.98,,1.03,,..,,..,,..,,..,,39.3,,..,,..,,..,,..,
74,Mexico,1.05,,1.03,,1.00,,1.08,,1.35,,0.97,,1.14,,41.6,,48.4,,45.0,,28.1,f,3.0,f,0.84,
74,Saint Kitts and Nevis,..,,0.80,,0.97,,1.03,,..,,..,,..,,..,,13.3,,..,,..,,..,,..,
74,Ukraine,1.06,,..,,1.02,,0.98,,1.05,,0.99,,0.79,,49.0,,20.5,,..,,..,,..,,..,
78,Antigua and Barbuda,1.03,,1.11,,0.99,,0.96,,..,,..,,..,,..,,31.4,,66.7,,..,,..,,0.95,
79,Peru,1.05,,1.00,,0.97,,0.95,,1.31,,0.85,,1.06,,46.7,,30.0,,26.2,,22.7,f,2.6,f,..,
79,Thailand,1.06,,1.00,,1.00,,0.98,,1.39,,0.90,,0.97,,47.6,,14.1,,17.4,,11.8,g,3.2,g,..,
81,Armenia,1.11,,1.08,,1.00,,1.04,,1.38,,1.00,,1.03,,43.9,,23.5,,9.0,,21.7,,5.0,,1.17,
82,North Macedonia,1.06,,1.03,,1.00,,0.97,,1.07,,0.73,,0.94,,40.0,,39.2,,..,,15.4,d,2.8,d,..,
83,Colombia,1.05,,..,,0.97,,1.05,,1.75,,1.05,,1.71,,45.9,,19.6,,17.9,,18.2,,3.4,,0.99,
84,Brazil,1.05,,1.01,,0.97,,1.03,,1.28,,1.06,,1.35,,45.0,,15.0,,13.5,,11.6,,2.3,,..,
85,China,1.13,,1.01,,1.01,,..,,0.82,,0.91,,0.78,,45.6,,24.9,,..,,15.3,,2.6,,..,
86,Ecuador,1.05,,1.05,,1.02,,1.03,,1.56,,0.99,,1.51,,42.1,,38.0,,27.2,,19.7,,4.2,,..,
86,Saint Lucia,1.03,,1.10,,1.01,,1.00,,1.25,,1.17,,1.25,,47.0,,20.7,,..,,..,,..,,..,
88,Azerbaijan,1.13,,0.99,,1.01,,1.00,,1.24,,0.96,,1.34,,44.1,,16.8,,35.0,,25.4,,2.9,,1.51,
88,Dominican Republic,1.05,,1.02,,0.94,,1.08,,2.08,,1.06,,1.97,,42.6,,24.3,,28.3,,16.7,,4.4,,..,
90,Moldova (Republic of),1.06,,1.00,,1.00,,0.99,,0.85,,0.98,,0.61,,52.8,,25.7,,35.6,,19.5,d,1.8,d,..,
91,Algeria,1.05,,..,,0.95,,..,,1.76,,1.00,,2.17,,16.9,,21.5,,17.6,,21.7,f,5.8,f,..,
92,Lebanon,1.05,,..,,..,,..,,1.32,,0.98,,1.96,,23.3,,4.7,,4.0,,..,,..,,..,
93,Fiji,1.06,,..,,0.98,,..,,1.94,,1.02,,1.52,,33.5,,19.6,,..,,15.2,,2.9,,..,
94,Dominica,..,,1.03,,0.97,,0.99,,..,,..,,..,,..,,25.0,,..,,..,,..,,..,
95,Maldives,1.07,,1.03,,1.02,,..,,0.71,,0.92,,0.95,,21.7,,4.6,,6.1,,..,,..,,..,
95,Tunisia,1.06,,1.02,,0.99,,1.14,,1.12,,0.78,,1.75,,25.0,,22.6,,48.5,,..,,..,,..,
97,Saint Vincent and the Grenadines,1.03,,1.02,,0.99,,1.03,,1.09,,..,,0.82,,44.5,,13.0,,..,,..,,..,,..,
97,Suriname,1.08,,1.00,,1.00,,1.32,,2.42,,1.02,,2.65,,37.6,,31.4,,35.6,,..,,..,,..,
99,Mongolia,1.03,,1.00,,0.98,,..,,1.50,,1.06,,0.89,,47.7,,17.3,,26.7,,17.6,f,2.8,f,..,
100,Botswana,1.03,,1.03,,0.98,,..,,1.43,,0.99,,1.39,,49.6,,10.8,,12.7,,..,,..,,..,
101,Jamaica,1.05,,1.04,,0.96,,1.03,,1.58,,1.12,,1.92,,48.5,,19.0,,18.4,,..,,..,,..,
102,Jordan,1.05,,0.99,,0.98,,1.03,,1.85,,0.95,,1.82,,16.6,,15.4,,31.9,,..,,..,,0.20,
103,Paraguay,1.05,,1.01,,..,,..,,1.40,,0.96,,1.40,,42.9,,16.8,,20.8,,14.5,,3.4,,0.80,
104,Tonga,1.05,,1.07,,0.99,,1.03,,3.58,,1.01,,3.80,,49.8,,7.4,,..,,..,,..,,..,
105,Libya,1.06,,..,,..,,..,,1.65,,1.56,,1.59,,30.3,,16.0,,..,,..,,..,,..,
106,Uzbekistan,1.06,,0.96,,0.99,,0.99,,1.08,,1.00,,0.94,,40.6,,16.4,,..,,..,,..,,..,
107,Bolivia (Plurinational State of),1.05,,1.02,,0.99,,0.98,,1.22,,0.89,,1.17,,44.1,,51.8,,50.5,,..,,..,,..,
107,Indonesia,1.05,,0.90,,0.97,,1.03,,1.03,,0.85,,0.94,,40.5,,17.4,,14.4,,..,,..,,..,
107,Philippines,1.06,,0.96,,0.96,,1.11,,1.44,,1.04,,1.24,,43.6,,28.0,,29.1,,..,,..,,..,
110,Belize,1.03,,1.05,,0.95,,1.04,,2.63,,1.00,,2.22,,43.0,,11.1,,31.0,,..,,..,,..,
111,Samoa,1.08,,1.16,,1.00,,1.10,,1.49,,1.11,,1.30,,45.4,,10.0,,..,,..,,..,,..,
111,Turkmenistan,1.05,,0.97,,0.98,,0.96,,0.60,,..,,0.43,,42.1,,25.0,,21.9,,..,,..,,..,
113,Venezuela (Bolivarian Republic of),1.05,,1.01,,0.98,,1.08,,1.43,,1.08,,1.10,,41.9,,22.2,,..,,..,,..,,0.72,
114,South Africa,1.03,,1.00,,0.97,,1.09,,1.16,,0.96,,1.15,,44.6,,45.3,h,40.7,,15.6,d,2.4,d,..,
115,"Palestine, State of",1.05,,1.00,,1.00,,1.10,,1.84,,0.98,,1.82,,15.9,,..,,21.2,,17.8,d,6.0,d,..,
116,Egypt,1.06,,1.00,,1.00,,0.99,,1.55,,1.01,,3.06,,17.4,,14.9,,..,,22.4,d,9.2,d,..,
117,Marshall Islands,..,,0.92,,1.00,,1.07,,..,,0.99,,..,,..,,6.1,,15.9,,..,,..,,..,
117,Viet Nam,1.12,,0.99,,1.02,,..,,1.07,,0.85,,0.90,,46.9,,26.7,,26.8,,..,,..,,..,
119,Gabon,1.03,,..,,..,,..,,1.34,,1.31,,1.99,,27.8,,17.9,,..,,..,,..,,..,
,Medium human development,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kyrgyzstan,1.06,,1.00,,0.99,,1.00,,2.00,,1.01,,1.33,,38.4,,19.2,,..,,16.8,f,1.8,f,..,
121,Morocco,1.06,,0.86,,0.96,,0.91,,1.04,,0.81,,1.21,,16.8,,18.4,,20.9,,20.8,,7.0,,..,
122,Guyana,1.05,,..,,..,,..,,1.64,,1.26,,1.57,,41.4,,31.9,,..,,..,,..,,..,
123,Iraq,1.07,,..,,..,,..,,2.86,,0.70,,3.02,,10.8,,25.2,,25.7,,..,,..,,..,
124,El Salvador,1.05,,1.02,,0.97,,0.99,,1.29,,0.86,,0.80,,48.7,,31.0,,32.4,,20.2,,2.9,,..,
125,Tajikistan,1.07,,0.87,,0.99,,..,,0.95,,0.97,,0.85,,27.3,,20.0,,..,,..,,..,,..,
126,Cabo Verde,1.03,,1.01,,0.93,,1.10,,1.28,,0.92,,0.89,,47.1,,23.6,,28.4,,..,,..,,0.71,
127,Guatemala,1.05,,1.02,,0.97,,0.95,,2.03,,1.03,,1.72,,43.1,,19.4,,10.6,,19.5,,7.5,,0.50,
128,Nicaragua,1.05,,..,,..,,..,,1.48,,1.04,,0.97,,51.1,,44.6,,..,,..,,..,,..,
129,Bhutan,1.04,,1.01,,1.00,,1.13,,1.50,,0.74,,1.83,,32.9,,15.3,,10.6,,15.0,,2.5,,..,
130,Namibia,1.01,,1.04,,0.97,,..,,1.07,,0.97,,0.94,,50.9,,37.0,,45.1,,..,,..,,..,
131,India,1.10,,0.92,,1.15,,1.04,,1.07,,0.59,,0.97,,15.9,,13.5,,44.4,,..,,..,,..,
132,Honduras,1.05,,1.02,,1.00,,1.15,,2.10,,1.09,,1.60,,48.5,,21.1,,27.9,,17.3,,4.0,,..,
133,Bangladesh,1.05,,1.04,,1.07,,1.16,,1.50,,0.84,,1.88,,20.7,,20.6,,25.2,,..,,..,,..,
134,Kiribati,1.06,,..,,1.07,,..,,..,,..,,..,,..,,6.5,,..,,..,,..,,..,
135,Sao Tome and Principe,1.03,,1.09,,0.97,,1.16,,2.01,,0.69,,2.30,,37.1,,14.5,,..,,..,,..,,..,
136,Micronesia (Federated States of),1.06,,0.89,,0.98,,..,,..,,..,,..,,..,,0.0,,1.5,,..,,..,,..,
137,Lao People's Democratic Republic,1.05,,1.03,,0.96,,0.93,,0.88,,0.76,,0.83,,46.6,,27.5,,32.2,,13.6,,1.4,,..,
138,Eswatini (Kingdom of),1.03,,..,,0.92,,0.99,,1.12,,0.93,,1.15,,48.0,,12.1,,14.2,,..,,..,,..,
138,Ghana,1.05,,1.02,,1.01,,1.00,,0.97,,0.78,,1.06,,51.2,,13.1,,3.8,,14.4,d,4.1,d,..,
140,Vanuatu,1.07,,0.97,,0.97,,1.03,,1.07,,..,,1.24,,44.2,,0.0,,9.5,,..,,..,,..,
141,Timor-Leste,1.05,,1.01,,0.96,,1.08,,1.53,,..,,1.94,,47.5,,38.5,,4.0,,..,,..,,1.13,
142,Nepal,1.07,,0.91,,1.02,,1.07,,0.60,,0.66,,0.73,,40.3,,33.5,,41.0,,..,,..,,..,
143,Kenya,1.03,,0.97,,1.00,,..,,1.01,,0.80,,1.12,,42.4,,23.3,,33.5,,..,,..,,..,
144,Cambodia,1.05,,1.04,,0.98,,..,,1.20,,0.53,,1.53,,46.8,,19.3,,16.9,,..,,..,,0.15,
145,Equatorial Guinea,1.03,,1.02,,0.99,,..,,0.92,,..,,0.94,,36.6,,19.2,,26.9,,..,,..,,..,
146,Zambia,1.03,,1.08,,1.02,,..,,1.08,,0.71,,1.15,,42.8,,18.0,,7.1,,..,,..,,0.22,
147,Myanmar,1.03,,1.02,,0.96,,1.09,,1.49,,1.22,,1.67,,44.4,,11.6,,..,,..,,..,,..,
148,Angola,1.03,,0.89,,0.87,,0.64,,0.91,,0.61,,1.02,,44.2,,30.0,,..,,..,,..,,..,
149,Congo,1.03,,..,,..,,..,,0.93,,0.91,,1.14,,49.1,,13.6,,..,,..,,..,,..,
150,Zimbabwe,1.02,,..,,..,,..,,1.27,,0.84,,1.23,,45.5,,34.6,,12.0,,..,,..,,..,
151,Solomon Islands,1.07,,1.02,,1.00,,..,,1.54,,..,,1.06,,48.7,,4.1,,..,,..,,..,,..,
151,Syrian Arab Republic,1.05,,..,,..,,..,,2.83,,0.86,,3.52,,14.6,,13.2,,7.1,,..,,..,,..,
153,Cameroon,1.03,,1.02,,0.90,,0.86,,1.19,,0.79,,1.32,,43.1,,29.3,,25.3,,14.6,d,3.1,d,..,
154,Pakistan,1.09,,0.87,,0.84,,0.85,,0.94,,0.60,,1.34,,11.0,,20.0,,16.9,,..,,..,,..,
155,Papua New Guinea,1.08,,0.99,,0.91,,0.73,,0.61,,0.66,,0.40,,46.3,,0.0,,..,,..,,..,,..,
156,Comoros,1.05,,1.03,,1.00,,1.07,,0.77,,..,,1.16,,37.5,,6.1,,28.0,,..,,..,,..,
,Low human development,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Mauritania,1.05,,1.26,,1.06,,1.02,,1.20,,0.51,,1.45,,31.3,,20.3,,31.4,,..,,..,,..,
158,Benin,1.04,,1.03,,0.94,,0.76,,1.12,,0.54,,1.10,,55.8,,7.2,,4.7,,..,,..,,..,
159,Uganda,1.03,,1.04,,1.03,,..,,1.52,,0.78,,1.64,,41.2,,34.9,,45.7,,..,,..,,..,
160,Rwanda,1.02,,1.03,,0.99,,1.12,,1.71,,0.69,,1.08,,39.1,,55.7,,43.6,,..,,..,,..,
161,Nigeria,1.06,,..,,0.94,,0.90,,1.58,,..,,1.20,,52.3,,4.1,,9.8,,..,,..,,..,
162,Côte d'Ivoire,1.03,,1.02,,0.93,,0.77,,1.26,,0.52,,1.26,,47.8,,13.3,,15.0,,..,,..,,..,
163,Tanzania (United Republic of),1.03,,1.00,,1.03,,1.05,,1.40,,0.71,,1.61,,45.0,,36.9,,30.1,,16.5,i,3.9,i,..,
164,Madagascar,1.03,,1.10,,1.01,,1.03,,0.89,,..,,1.10,,54.0,,16.9,,..,,..,,..,,..,
165,Lesotho,1.03,,1.04,,0.95,,1.35,,1.33,,1.30,,1.33,,45.7,,23.0,,39.0,,..,,..,,..,
166,Djibouti,1.04,,0.95,,1.00,,1.03,,0.96,,..,,1.02,,41.0,,26.2,,28.9,,..,,..,,..,
167,Togo,1.02,,1.03,,0.96,,0.73,,0.97,,0.51,,0.61,,51.6,,16.5,,..,,..,,..,,..,
168,Senegal,1.04,,1.13,,1.13,,1.10,,1.38,,0.39,,1.23,,43.0,,41.8,,47.6,,..,,..,,..,
169,Afghanistan,1.06,,..,,0.67,,0.57,,1.31,,0.36,,1.36,,12.6,,27.2,,16.5,,..,,..,,..,
170,Haiti,1.05,,..,,..,,..,,1.57,,0.67,,1.50,,55.8,,2.7,,..,,..,,..,,..,
170,Sudan,1.04,,1.02,,0.94,,1.01,,1.56,,0.79,,2.39,,20.0,,27.5,,..,,..,,..,,..,
172,Gambia,1.03,,1.06,,1.09,,..,,1.89,,0.71,,1.87,,39.1,,10.3,,..,,..,,..,,..,
173,Ethiopia,1.04,,0.95,,0.91,,0.96,,1.76,,0.51,,1.84,,57.2,,37.3,,..,,19.3,d,2.9,d,..,
174,Malawi,1.03,,1.01,,1.01,,0.98,,1.16,,0.67,,1.40,,48.5,,22.9,,14.6,,..,,..,,..,
175,Congo (Democratic Republic of the),1.03,,1.07,,0.99,,0.64,,0.61,,0.56,,0.68,,38.6,,12.0,,..,,..,,..,,..,
175,Guinea-Bissau,1.03,,..,,..,,..,,0.79,,..,,0.82,,44.0,,13.7,,..,,..,,..,,..,
175,Liberia,1.05,,1.01,,0.99,,0.77,,0.96,,0.46,,0.66,,49.2,,11.7,,..,,6.3,,2.4,,..,
178,Guinea,1.02,,..,,0.82,,0.65,,0.68,,..,,0.61,,52.7,,22.8,,15.4,,..,,..,,..,
179,Yemen,1.05,,0.90,,0.87,,0.73,,1.47,,0.54,,2.09,,5.0,,1.0,,0.5,j,..,,..,,..,
180,Eritrea,1.05,,0.99,,0.86,,0.91,,0.92,,..,,0.93,,40.6,,22.0,,..,,..,,..,,..,
181,Mozambique,1.02,,..,,0.93,,0.89,,0.96,,0.70,,1.15,,34.8,,41.2,,..,,..,,..,,..,
182,Burkina Faso,1.05,,0.99,,0.98,,1.00,,2.40,,0.50,,2.38,,47.9,,13.4,,12.7,,..,,..,,0.13,
182,Sierra Leone,1.02,,1.12,,1.03,,0.97,,0.41,,0.61,,0.70,,53.4,,12.3,,18.2,,..,,..,,..,
184,Mali,1.05,,1.03,,0.90,,0.82,,1.22,,0.45,,1.19,,43.1,,9.5,,25.3,,..,,..,,0.11,
185,Burundi,1.03,,1.04,,1.01,,1.11,,0.44,,0.66,,0.54,,26.2,,38.8,,19.1,,..,,..,,..,
185,South Sudan,1.04,,0.95,,0.71,,0.54,,0.86,,..,,1.21,,30.2,,26.6,,..,,..,,..,,..,
187,Chad,1.03,,0.92,,0.77,,0.46,,0.75,,0.17,,0.83,,48.9,,14.9,,..,,..,,..,,..,
188,Central African Republic,1.03,,1.05,,0.78,,0.67,,0.90,,0.43,,0.94,,37.7,,8.6,,..,,..,,..,,..,
189,Niger,1.05,,1.07,,0.86,,0.75,,0.45,,0.52,,0.64,,51.3,,17.0,,15.8,k,..,,..,,..,
,Other countries or territories,,,,,,,,,,,,,,,,,,,,,,,,,,
