|,|__44206__1990,|__44206__1991,|__44206__1992,|__44206__1993,|__44206__1994,|__44206__1995,|__44206__1996,|__44206__1997,|__44206__1998,|__44206__1999,|__44206__2000,|__44206__2001,|__44206__2002,|__44206__2003,|__44206__2004,|__44206__2005,|__44206__2006,|__44206__2007,|__44206__2008,|__44206__2009,|__44206__2010,|__44206__2011,|__44206__2012,|__44206__2013,|__44206__2014,|__44206__2015,|__44206__2016,|__44206__2017,|__44206__2018,|__44206__2019
BLZ,0.188,,,,,0.207,,,,,0.247,,,,,0.284,,,,,0.322,0.33,0.338,0.346,0.353,0.361,0.368,0.376,0.383,0.39
BOL,6.865,,,,,7.622,,,,,8.418,,,,,9.232,,,,,10.049,10.213,10.378,10.542,10.707,10.87,11.032,11.193,11.353,11.513
BRA,149.003,,,,,162.02,,,,,174.79,,,,,186.127,,,,,195.714,197.515,199.287,201.036,202.764,204.472,206.163,207.834,209.469,211.05
BRB,0.261,,,,,0.266,,,,,0.272,,,,,0.276,,,,,0.282,0.283,0.284,0.284,0.285,0.285,0.286,0.286,0.287,0.287
BRN,0.259,,,,,0.297,,,,,0.333,,,,,0.365,,,,,0.389,0.394,0.399,0.404,0.41,0.415,0.42,0.424,0.429,0.433
BTN,0.531,,,,,0.535,,,,,0.591,,,,,0.649,,,,,0.686,0.693,0.702,0.71,0.719,0.728,0.737,0.746,0.754,0.763
BWA,1.287,,,,,1.469,,,,,1.643,,,,,1.799,,,,,1.987,2.015,2.04,2.063,2.089,2.121,2.16,2.205,2.254,2.304
CAF,2.807,,,,,3.223,,,,,3.64,,,,,4.038,,,,,4.387,4.419,4.436,4.448,4.464,4.493,4.538,4.596,4.666,4.745
CAN,27.541,,,,,29.164,,,,,30.588,,,,,32.164,,,,,34.148,34.539,34.922,35.297,35.664,36.027,36.383,36.732,37.075,37.411
CHE,6.653,,,,,6.996,,,,,7.144,,,,,7.387,,,,,7.809,7.907,8.008,8.109,8.206,8.297,8.38,8.456,8.526,8.591
CHL,13.275,,,,,14.381,,,,,15.342,,,,,16.183,,,,,17.063,17.234,17.4,17.572,17.759,17.969,18.209,18.47,18.729,18.952
CHN,1176.884,,,,,1240.921,,,,,1290.551,,,,,1330.776,,,,,1368.811,1376.498,1384.206,1391.883,1399.454,1406.848,1414.049,1421.022,1427.648,1433.784
CIV,11.925,,,,,14.2,,,,,16.455,,,,,18.355,,,,,20.533,21.029,21.547,22.088,22.648,23.226,23.823,24.437,25.069,25.717
CMR,11.78,,,,,13.6,,,,,15.514,,,,,17.733,,,,,20.341,20.906,21.485,22.077,22.682,23.298,23.927,24.566,25.216,25.876
COD,34.612,,,,,41.576,,,,,47.106,,,,,54.786,,,,,64.564,66.755,69.021,71.359,73.767,76.245,78.789,81.399,84.068,86.791
COG,2.357,,,,,2.708,,,,,3.127,,,,,3.623,,,,,4.274,4.395,4.51,4.623,4.737,4.856,4.981,5.111,5.244,5.381
COL,33.103,,,,,36.421,,,,,39.63,,,,,42.648,,,,,45.223,45.663,46.076,46.495,46.968,47.521,48.175,48.91,49.661,50.339
COM,0.412,,,,,0.475,,,,,0.542,,,,,0.612,,,,,0.69,0.707,0.724,0.742,0.759,0.777,0.796,0.814,0.832,0.851
CPV,0.338,,,,,0.386,,,,,0.428,,,,,0.463,,,,,0.493,0.499,0.505,0.512,0.518,0.525,0.531,0.537,0.544,0.55
CRI,3.119,,,,,3.546,,,,,3.962,,,,,4.286,,,,,4.577,4.633,4.688,4.742,4.795,4.848,4.899,4.95,4.999,5.048
CUB,10.597,,,,,10.888,,,,,11.126,,,,,11.262,,,,,11.226,11.237,11.257,11.283,11.307,11.325,11.335,11.339,11.338,11.333
CYP,0.767,,,,,0.855,,,,,0.943,,,,,1.028,,,,,1.113,1.125,1.135,1.144,1.152,1.161,1.17,1.18,1.189,1.199
CZE,10.341,,,,,10.358,,,,,10.289,,,,,10.258,,,,,10.537,10.567,10.581,10.587,10.591,10.601,10.619,10.641,10.666,10.689
DEU,79.054,,,,,81.139,,,,,81.401,,,,,81.603,,,,,80.827,80.856,80.973,81.174,81.45,81.787,82.194,82.658,83.124,83.517
DJI,0.59,,,,,0.63,,,,,0.718,,,,,0.783,,,,,0.84,0.854,0.868,0.883,0.899,0.914,0.929,0.944,0.959,0.974
DMA,0.07,,,,,0.071,,,,,0.07,,,,,0.071,,,,,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.072,0.072
DNK,5.141,,,,,5.233,,,,,5.341,,,,,5.422,,,,,5.555,5.583,5.611,5.638,5.664,5.689,5.711,5.732,5.752,5.772
DOM,7.133,,,,,7.819,,,,,8.471,,,,,9.097,,,,,9.695,9.813,9.931,10.048,10.165,10.282,10.398,10.513,10.627,10.739
DZA,25.759,,,,,28.758,,,,,31.042,,,,,33.15,,,,,35.977,36.661,37.384,38.14,38.924,39.728,40.551,41.389,42.228,43.053
ECU,10.231,,,,,11.455,,,,,12.681,,,,,13.826,,,,,15.011,15.244,15.474,15.707,15.952,16.212,16.491,16.785,17.084,17.374
EGY,56.134,,,,,62.334,,,,,68.832,,,,,75.524,,,,,82.761,84.529,86.422,88.405,90.425,92.443,94.447,96.443,98.424,100.388
ERI,2.259,,,,,2.204,,,,,2.292,,,,,2.827,,,,,3.17,3.214,3.25,3.281,3.311,3.343,3.377,3.413,3.453,3.497
ESP,39.203,,,,,39.787,,,,,40.825,,,,,44.019,,,,,46.931,47.084,47.063,46.931,46.778,46.672,46.634,46.647,46.693,46.737
EST,1.565,,,,,1.433,,,,,1.399,,,,,1.356,,,,,1.332,1.328,1.323,1.319,1.316,1.315,1.317,1.319,1.323,1.326
ETH,47.888,,,,,57.048,,,,,66.225,,,,,76.346,,,,,87.64,90.14,92.727,95.386,98.094,100.835,103.603,106.4,109.224,112.079
FIN,4.996,,,,,5.119,,,,,5.188,,,,,5.259,,,,,5.366,5.39,5.415,5.439,5.461,5.481,5.498,5.511,5.523,5.532
FJI,0.729,,,,,0.775,,,,,0.811,,,,,0.822,,,,,0.86,0.863,0.865,0.866,0.866,0.869,0.872,0.877,0.883,0.89
FRA,56.667,,,,,57.802,,,,,59.015,,,,,61.12,,,,,62.88,63.222,63.564,63.894,64.194,64.453,64.668,64.843,64.991,65.13
FSM,0.096,,,,,0.108,,,,,0.107,,,,,0.106,,,,,0.103,0.103,0.105,0.106,0.107,0.109,0.11,0.111,0.113,0.114
GAB,0.949,,,,,1.085,,,,,1.228,,,,,1.391,,,,,1.624,1.685,1.75,1.817,1.884,1.948,2.008,2.065,2.119,2.173
GBR,57.134,,,,,57.932,,,,,58.923,,,,,60.288,,,,,63.46,64.022,64.525,64.984,65.423,65.86,66.298,66.727,67.142,67.53
GEO,5.41,,,,,4.976,,,,,4.362,,,,,4.21,,,,,4.099,4.081,4.064,4.049,4.035,4.024,4.015,4.009,4.003,3.997
GHA,14.773,,,,,17.014,,,,,19.279,,,,,21.815,,,,,24.78,25.388,25.996,26.608,27.224,27.849,28.482,29.121,29.767,30.418
GIN,6.352,,,,,7.27,,,,,8.241,,,,,9.11,,,,,10.192,10.42,10.652,10.893,11.151,11.432,11.738,12.068,12.414,12.771
GMB,0.956,,,,,1.129,,,,,1.318,,,,,1.544,,,,,1.793,1.848,1.905,1.964,2.024,2.086,2.149,2.214,2.28,2.348
GNB,0.975,,,,,1.089,,,,,1.201,,,,,1.345,,,,,1.523,1.563,1.605,1.648,1.692,1.737,1.782,1.828,1.874,1.921
GNQ,0.419,,,,,0.497,,,,,0.606,,,,,0.75,,,,,0.944,0.987,1.031,1.076,1.122,1.169,1.215,1.262,1.309,1.356
GRC,10.226,,,,,10.746,,,,,11.082,,,,,11.225,,,,,10.888,10.829,10.781,10.741,10.701,10.66,10.615,10.569,10.522,10.473
GRD,0.096,,,,,0.1,,,,,0.103,,,,,0.105,,,,,0.106,0.107,0.107,0.108,0.109,0.11,0.11,0.111,0.111,0.112
GTM,9.264,,,,,10.408,,,,,11.651,,,,,13.096,,,,,14.63,14.949,15.271,15.596,15.923,16.252,16.583,16.915,17.248,17.581
GUY,0.743,,,,,0.761,,,,,0.747,,,,,0.746,,,,,0.749,0.752,0.755,0.759,0.763,0.767,0.771,0.775,0.779,0.783
HKG,5.728,,,,,6.084,,,,,6.606,,,,,6.77,,,,,6.966,7.007,7.047,7.089,7.135,7.186,7.244,7.306,7.372,7.436
HND,4.955,,,,,5.709,,,,,6.575,,,,,7.459,,,,,8.317,8.481,8.641,8.799,8.956,9.113,9.271,9.429,9.588,9.746
HRV,4.776,,,,,4.617,,,,,4.428,,,,,4.378,,,,,4.328,4.313,4.296,4.277,4.256,4.233,4.209,4.183,4.156,4.13
HTI,7.038,,,,,7.745,,,,,8.464,,,,,9.195,,,,,9.949,10.1,10.251,10.401,10.549,10.696,10.84,10.982,11.123,11.263
HUN,10.377,,,,,10.349,,,,,10.221,,,,,10.086,,,,,9.927,9.896,9.864,9.834,9.805,9.778,9.753,9.73,9.708,9.685
IDN,181.413,,,,,196.934,,,,,211.514,,,,,226.289,,,,,241.834,245.116,248.452,251.805,255.128,258.383,261.556,264.651,267.671,270.626
IND,873.278,,,,,963.923,,,,,1056.576,,,,,1147.61,,,,,1234.281,1250.288,1265.78,1280.842,1295.601,1310.152,1324.517,1338.677,1352.642,1366.418
IRL,3.511,,,,,3.592,,,,,3.783,,,,,4.141,,,,,4.554,4.591,4.608,4.615,4.627,4.652,4.696,4.753,4.819,4.882
IRN,56.366,,,,,61.443,,,,,65.623,,,,,69.762,,,,,73.763,74.635,75.54,76.482,77.466,78.492,79.564,80.674,81.8,82.914
IRQ,17.419,,,,,20.149,,,,,23.498,,,,,26.922,,,,,29.742,30.725,31.89,33.157,34.412,35.572,36.611,37.553,38.434,39.31
ISL,0.255,,,,,0.268,,,,,0.28,,,,,0.295,,,,,0.32,0.323,0.326,0.327,0.329,0.33,0.332,0.334,0.337,0.339
ISR,4.448,,,,,5.271,,,,,5.946,,,,,6.529,,,,,7.346,7.487,7.615,7.735,7.854,7.978,8.109,8.244,8.382,8.519
ITA,57.048,,,,,57.174,,,,,56.692,,,,,58.281,,,,,59.325,59.589,59.879,60.167,60.41,60.578,60.663,60.674,60.627,60.55
JAM,2.42,,,,,2.534,,,,,2.655,,,,,2.74,,,,,2.81,2.826,2.842,2.859,2.875,2.891,2.906,2.921,2.935,2.948
JOR,3.566,,,,,4.589,,,,,5.122,,,,,5.766,,,,,7.262,7.663,8.09,8.519,8.919,9.267,9.554,9.786,9.965,10.102
JPN,124.505,,,,,126.365,,,,,127.524,,,,,128.326,,,,,128.542,128.499,128.424,128.314,128.169,127.985,127.763,127.503,127.202,126.86
KAZ,16.384,,,,,15.839,,,,,14.923,,,,,15.403,,,,,16.252,16.491,16.752,17.026,17.303,17.572,17.831,18.08,18.32,18.551
KEN,23.725,,,,,27.768,,,,,31.965,,,,,36.625,,,,,42.031,43.178,44.343,45.52,46.7,47.878,49.052,50.221,51.393,52.574
KGZ,4.373,,,,,4.566,,,,,4.921,,,,,5.075,,,,,5.422,5.518,5.622,5.731,5.845,5.959,6.074,6.19,6.304,6.416
KHM,8.976,,,,,10.656,,,,,12.155,,,,,13.273,,,,,14.312,14.541,14.78,15.026,15.275,15.521,15.766,16.009,16.25,16.487
KIR,0.072,,,,,0.078,,,,,0.084,,,,,0.092,,,,,0.103,0.105,0.106,0.108,0.109,0.111,0.113,0.114,0.116,0.118
KNA,0.04,,,,,0.042,,,,,0.044,,,,,0.047,,,,,0.049,0.049,0.05,0.05,0.051,0.051,0.052,0.052,0.052,0.053
KOR,42.918,,,,,45.293,,,,,47.379,,,,,48.701,,,,,49.546,49.786,50.061,50.346,50.608,50.823,50.983,51.096,51.172,51.225
KWT,2.095,,,,,1.606,,,,,2.045,,,,,2.27,,,,,2.992,3.168,3.349,3.526,3.691,3.836,3.957,4.056,4.137,4.207
LAO,4.258,,,,,4.846,,,,,5.324,,,,,5.752,,,,,6.249,6.348,6.445,6.541,6.64,6.741,6.846,6.953,7.061,7.169
LBN,2.803,,,,,3.528,,,,,3.843,,,,,4.699,,,,,4.953,5.202,5.538,5.913,6.261,6.533,6.714,6.819,6.859,6.856
LBR,2.076,,,,,2.045,,,,,2.848,,,,,3.218,,,,,3.891,4.017,4.136,4.248,4.36,4.472,4.587,4.702,4.819,4.937
LBY,4.437,,,,,4.949,,,,,5.358,,,,,5.799,,,,,6.198,6.247,6.286,6.32,6.362,6.418,6.492,6.581,6.679,6.777
LCA,0.138,,,,,0.147,,,,,0.157,,,,,0.163,,,,,0.174,0.176,0.177,0.178,0.178,0.179,0.18,0.181,0.182,0.183
LIE,0.029,,,,,0.031,,,,,0.033,,,,,0.035,,,,,0.036,0.036,0.037,0.037,0.037,0.037,0.038,0.038,0.038,0.038
LKA,17.326,,,,,18.243,,,,,18.778,,,,,19.545,,,,,20.262,20.398,20.533,20.663,20.789,20.908,21.021,21.128,21.229,21.324
LSO,1.704,,,,,1.899,,,,,2.033,,,,,1.996,,,,,1.996,2.004,2.015,2.029,2.043,2.059,2.075,2.092,2.108,2.125
LTU,3.696,,,,,3.627,,,,,3.502,,,,,3.344,,,,,3.124,3.083,3.046,3.009,2.971,2.932,2.89,2.845,2.801,2.76
LUX,0.382,,,,,0.408,,,,,0.436,,,,,0.458,,,,,0.508,0.519,0.531,0.543,0.555,0.567,0.579,0.592,0.604,0.616
LVA,2.664,,,,,2.508,,,,,2.384,,,,,2.252,,,,,2.119,2.094,2.069,2.045,2.021,1.998,1.974,1.951,1.928,1.907
MAR,24.807,,,,,26.994,,,,,28.794,,,,,30.456,,,,,32.343,32.782,33.242,33.716,34.192,34.664,35.126,35.581,36.029,36.472
MCO,0.029,,,,,0.031,,,,,0.032,,,,,0.034,,,,,0.036,0.036,0.036,0.037,0.037,0.038,0.038,0.038,0.039,0.039
MDA,4.366,,,,,4.341,,,,,4.203,,,,,4.159,,,,,4.086,4.079,4.076,4.075,4.073,4.071,4.066,4.06,4.052,4.043
MDG,11.599,,,,,13.475,,,,,15.767,,,,,18.337,,,,,21.152,21.744,22.347,22.961,23.59,24.234,24.894,25.571,26.262,26.969
MDV,0.223,,,,,0.254,,,,,0.279,,,,,0.32,,,,,0.366,0.38,0.397,0.416,0.435,0.455,0.476,0.496,0.516,0.531
MEX,83.943,,,,,91.663,,,,,98.9,,,,,106.005,,,,,114.093,115.695,117.274,118.827,120.355,121.858,123.333,124.777,126.191,127.576
MHL,0.047,,,,,0.05,,,,,0.051,,,,,0.055,,,,,0.056,0.057,0.057,0.057,0.057,0.057,0.058,0.058,0.058,0.059
MKD,1.996,,,,,1.983,,,,,2.035,,,,,2.06,,,,,2.071,2.072,2.074,2.076,2.078,2.079,2.081,2.082,2.083,2.083
MLI,8.45,,,,,9.586,,,,,10.946,,,,,12.776,,,,,15.049,15.515,15.979,16.45,16.934,17.439,17.965,18.512,19.078,19.658
MLT,0.362,,,,,0.377,,,,,0.394,,,,,0.405,,,,,0.414,0.418,0.422,0.426,0.43,0.434,0.436,0.438,0.439,0.44
MMR,41.335,,,,,43.902,,,,,46.72,,,,,48.95,,,,,50.601,50.991,51.414,51.852,52.281,52.681,53.045,53.383,53.708,54.045
MNE,0.615,,,,,0.62,,,,,0.614,,,,,0.616,,,,,0.624,0.625,0.626,0.626,0.627,0.627,0.627,0.628,0.628,0.628
MNG,2.184,,,,,2.298,,,,,2.397,,,,,2.526,,,,,2.72,2.77,2.825,2.882,2.94,2.998,3.056,3.114,3.17,3.225
MOZ,12.987,,,,,15.483,,,,,17.712,,,,,20.494,,,,,23.532,24.188,24.863,25.561,26.286,27.042,27.83,28.649,29.496,30.366
MRT,2.034,,,,,2.314,,,,,2.63,,,,,3.024,,,,,3.494,3.599,3.707,3.817,3.931,4.046,4.164,4.283,4.403,4.526
MUS,1.056,,,,,1.129,,,,,1.185,,,,,1.222,,,,,1.248,1.251,1.253,1.255,1.257,1.259,1.262,1.264,1.267,1.27
MWI,9.404,,,,,9.844,,,,,11.149,,,,,12.626,,,,,14.54,14.962,15.396,15.839,16.29,16.745,17.205,17.67,18.143,18.629
MYS,18.03,,,,,20.488,,,,,23.194,,,,,25.691,,,,,28.208,28.651,29.068,29.469,29.867,30.271,30.685,31.105,31.528,31.95
NAM,1.433,,,,,1.628,,,,,1.795,,,,,1.938,,,,,2.119,2.157,2.195,2.234,2.273,2.315,2.358,2.403,2.448,2.495
NER,8.027,,,,,9.49,,,,,11.332,,,,,13.624,,,,,16.464,17.115,17.795,18.504,19.24,20.002,20.789,21.602,22.443,23.311
NGA,95.212,,,,,107.948,,,,,122.284,,,,,138.865,,,,,158.503,162.805,167.229,171.766,176.405,181.137,185.96,190.873,195.875,200.964
NIC,4.173,,,,,4.652,,,,,5.069,,,,,5.439,,,,,5.824,5.903,5.983,6.062,6.143,6.223,6.304,6.385,6.466,6.546
NLD,14.965,,,,,15.468,,,,,15.926,,,,,16.367,,,,,16.683,16.738,16.792,16.844,16.893,16.938,16.981,17.021,17.06,17.097
NOR,4.247,,,,,4.367,,,,,4.499,,,,,4.632,,,,,4.886,4.948,5.014,5.079,5.142,5.2,5.251,5.296,5.338,5.379
NPL,18.905,,,,,21.576,,,,,23.941,,,,,25.745,,,,,27.013,27.041,26.989,26.917,26.906,27.015,27.263,27.633,28.096,28.609
NZL,3.398,,,,,3.675,,,,,3.859,,,,,4.135,,,,,4.37,4.419,4.468,4.519,4.568,4.615,4.659,4.702,4.743,4.783
OMN,1.812,,,,,2.204,,,,,2.268,,,,,2.511,,,,,3.041,3.251,3.498,3.765,4.027,4.267,4.479,4.666,4.829,4.975
PAK,107.648,,,,,123.777,,,,,142.344,,,,,160.304,,,,,179.425,183.34,187.28,191.261,195.305,199.427,203.631,207.906,212.228,216.565
PAN,2.471,,,,,2.74,,,,,3.03,,,,,3.33,,,,,3.643,3.706,3.771,3.835,3.901,3.968,4.037,4.107,4.177,4.246
PER,22.071,,,,,24.299,,,,,26.46,,,,,27.866,,,,,29.028,29.264,29.507,29.774,30.09,30.471,30.926,31.444,31.989,32.51
PHL,61.895,,,,,69.784,,,,,77.992,,,,,86.326,,,,,93.967,95.57,97.213,98.872,100.513,102.113,103.664,105.173,106.651,108.117
PLW,0.015,,,,,0.017,,,,,0.019,,,,,0.02,,,,,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
PNG,4.616,,,,,5.187,,,,,5.848,,,,,6.495,,,,,7.311,7.472,7.631,7.788,7.947,8.108,8.272,8.438,8.606,8.776
POL,37.96,,,,,38.459,,,,,38.557,,,,,38.369,,,,,38.33,38.287,38.227,38.158,38.091,38.034,37.989,37.953,37.922,37.888
PRK,20.293,,,,,21.862,,,,,22.929,,,,,23.904,,,,,24.549,24.673,24.801,24.93,25.058,25.184,25.308,25.43,25.55,25.666
PRT,9.895,,,,,10.091,,,,,10.297,,,,,10.508,,,,,10.596,10.569,10.526,10.473,10.418,10.368,10.326,10.289,10.256,10.226
PRY,4.223,,,,,4.777,,,,,5.323,,,,,5.824,,,,,6.248,6.334,6.422,6.51,6.6,6.689,6.778,6.867,6.956,7.045
PSE,2.101,,,,,2.619,,,,,3.224,,,,,3.578,,,,,4.056,4.15,4.242,4.334,4.429,4.529,4.636,4.747,4.863,4.981
QAT,0.476,,,,,0.513,,,,,0.592,,,,,0.865,,,,,1.856,2.036,2.196,2.337,2.459,2.566,2.654,2.725,2.782,2.832
ROU,23.489,,,,,22.965,,,,,22.137,,,,,21.417,,,,,20.472,20.337,20.227,20.133,20.036,19.925,19.796,19.654,19.506,19.365
RUS,147.532,,,,,148.227,,,,,146.405,,,,,143.672,,,,,143.479,143.703,143.994,144.325,144.665,144.985,145.275,145.53,145.734,145.872
RWA,7.289,,,,,5.836,,,,,7.934,,,,,8.84,,,,,10.039,10.293,10.55,10.812,11.084,11.369,11.669,11.981,12.302,12.627
SAU,16.234,,,,,18.639,,,,,20.664,,,,,23.816,,,,,27.421,28.268,29.155,30.052,30.917,31.718,32.443,33.101,33.703,34.269
SDN,20.148,,,,,24.095,,,,,27.275,,,,,30.95,,,,,34.545,35.35,36.194,37.073,37.978,38.903,39.847,40.813,41.802,42.813
SEN,7.526,,,,,8.69,,,,,9.798,,,,,11.09,,,,,12.678,13.034,13.402,13.782,14.175,14.578,14.994,15.419,15.854,16.296
SGP,3.013,,,,,3.526,,,,,4.029,,,,,4.266,,,,,5.131,5.264,5.369,5.454,5.526,5.592,5.654,5.708,5.758,5.804
SLB,0.312,,,,,0.359,,,,,0.413,,,,,0.47,,,,,0.528,0.542,0.556,0.571,0.587,0.603,0.619,0.636,0.653,0.67
SLE,4.32,,,,,4.304,,,,,4.585,,,,,5.646,,,,,6.416,6.563,6.713,6.864,7.017,7.172,7.329,7.488,7.65,7.813
SLV,5.27,,,,,5.629,,,,,5.888,,,,,6.052,,,,,6.184,6.211,6.238,6.266,6.295,6.325,6.356,6.388,6.421,6.454
SMR,0.024,,,,,0.026,,,,,0.027,,,,,0.029,,,,,0.031,0.032,0.032,0.033,0.033,0.033,0.034,0.034,0.034,0.034
SOM,7.225,,,,,7.492,,,,,8.872,,,,,10.447,,,,,12.044,12.376,12.715,13.064,13.424,13.797,14.186,14.589,15.008,15.443
SRB,9.518,,,,,9.884,,,,,9.488,,,,,9.194,,,,,8.991,8.964,8.94,8.919,8.898,8.877,8.854,8.83,8.803,8.772
SSD,5.493,,,,,5.118,,,,,6.199,,,,,7.536,,,,,9.508,9.831,10.114,10.355,10.555,10.716,10.833,10.911,10.976,11.062
STP,0.119,,,,,0.132,,,,,0.142,,,,,0.157,,,,,0.18,0.185,0.188,0.192,0.196,0.199,0.203,0.207,0.211,0.215
SUR,0.405,,,,,0.442,,,,,0.471,,,,,0.499,,,,,0.529,0.535,0.541,0.547,0.553,0.559,0.565,0.571,0.576,0.581
SVK,5.288,,,,,5.375,,,,,5.399,,,,,5.399,,,,,5.404,5.409,5.415,5.422,5.429,5.436,5.442,5.448,5.453,5.457
SVN,2.006,,,,,1.991,,,,,1.988,,,,,1.995,,,,,2.043,2.051,2.058,2.063,2.067,2.071,2.074,2.076,2.078,2.079
SWE,8.567,,,,,8.836,,,,,8.882,,,,,9.039,,,,,9.39,9.467,9.543,9.618,9.692,9.765,9.836,9.905,9.972,10.036
SWZ,0.822,,,,,0.927,,,,,1.005,,,,,1.031,,,,,1.065,1.072,1.079,1.087,1.095,1.104,1.114,1.125,1.136,1.148
SYC,0.071,,,,,0.077,,,,,0.081,,,,,0.089,,,,,0.091,0.092,0.093,0.093,0.094,0.095,0.096,0.096,0.097,0.098
SYR,12.446,,,,,14.345,,,,,16.411,,,,,18.361,,,,,21.363,21.082,20.439,19.578,18.711,17.997,17.466,17.096,16.945,17.07
TCD,5.963,,,,,7.01,,,,,8.356,,,,,10.097,,,,,11.952,12.361,12.785,13.22,13.664,14.111,14.562,15.017,15.478,15.947
TGO,3.774,,,,,4.226,,,,,4.924,,,,,5.612,,,,,6.422,6.596,6.774,6.955,7.138,7.323,7.51,7.698,7.889,8.082
THA,56.558,,,,,59.467,,,,,62.953,,,,,65.416,,,,,67.195,67.518,67.836,68.145,68.439,68.715,68.971,69.21,69.428,69.626
TJK,5.284,,,,,5.765,,,,,6.216,,,,,6.789,,,,,7.527,7.698,7.875,8.06,8.253,8.454,8.664,8.88,9.101,9.321
TKM,3.684,,,,,4.208,,,,,4.516,,,,,4.755,,,,,5.087,5.174,5.268,5.366,5.466,5.565,5.662,5.758,5.851,5.942
TLS,0.738,,,,,0.844,,,,,0.884,,,,,0.995,,,,,1.094,1.113,1.133,1.153,1.174,1.196,1.219,1.243,1.268,1.293
TON,0.095,,,,,0.096,,,,,0.098,,,,,0.101,,,,,0.104,0.104,0.103,0.102,0.101,0.101,0.101,0.102,0.103,0.104
TTO,1.221,,,,,1.254,,,,,1.267,,,,,1.296,,,,,1.328,1.336,1.345,1.354,1.362,1.37,1.378,1.384,1.39,1.395
